Time,Temperature(¡C),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:00,28.5,0.09,0.091,0.091,0.0899,0.0909,0.0879,0.0889,0.0869,0.0869,0.0873,0.089,0.088,0.0918,0.0924,0.091,0.0929,0.113,0.1107,0.1126,0.0868,0.0868,0.0853,0.0868,0.0891,0.0909,0.1449,0.1428,0.1448,0.1562,0.0897,0.1302,0.1306,0.1292,0.0866,0.0852,0.0872,0.0894,0.1357,0.1355,0.1399,0.1604,0.1611,0.1336,0.1326,0.1353,0.086,0.0881,0.0868,0.093,0.1311,0.1291,0.1294,0.147,0.151,0.1221,0.1228,0.1245,0.0866,0.0862,0.0891,0.0903,0.1274,0.127,0.1266,0.119,0.1164,0.113,0.1086,0.1074,0.0853,0.0897,0.087,0.0917,0.1249,0.1236,0.1213,0.104,0.1025,0.1003,0.0884,0.0886,0.0876,0.0888,0.0901,0.0931,0.0957,0.093,0.092,0.0868,0.0885,0.088,0.0872,0.0875,0.0867,0.09,0.0868
2:30:01,29,0.0893,0.0899,0.0899,0.0894,0.0893,0.087,0.0881,0.0863,0.0862,0.0868,0.0885,0.0876,0.0912,0.0908,0.0898,0.0912,0.1059,0.1034,0.1034,0.0861,0.0862,0.0851,0.0864,0.0886,0.0905,0.1435,0.1427,0.144,0.1497,0.088,0.1247,0.1253,0.124,0.0862,0.0847,0.0868,0.0892,0.1333,0.1344,0.138,0.1613,0.1609,0.1312,0.1312,0.1373,0.0854,0.0873,0.087,0.0917,0.1291,0.1281,0.128,0.1499,0.1518,0.1214,0.1215,0.1228,0.0859,0.0857,0.0884,0.0891,0.1202,0.1228,0.1226,0.1174,0.1167,0.1128,0.1051,0.1041,0.0851,0.089,0.0867,0.0904,0.1193,0.1187,0.1175,0.1028,0.1013,0.0993,0.0875,0.088,0.0873,0.0885,0.0898,0.0919,0.0943,0.0917,0.0903,0.086,0.0876,0.0875,0.0864,0.0868,0.0865,0.0894,0.0865
5:00:03,29,0.0893,0.0897,0.0895,0.0894,0.0888,0.0871,0.0882,0.0864,0.0861,0.087,0.0886,0.0876,0.0912,0.0905,0.0896,0.0909,0.1061,0.1036,0.1038,0.0862,0.0864,0.0854,0.0864,0.0885,0.0908,0.1571,0.1539,0.1492,0.1478,0.0878,0.1245,0.1256,0.1229,0.0864,0.0848,0.087,0.0892,0.1426,0.1397,0.1439,0.1668,0.1664,0.1325,0.1357,0.1428,0.0853,0.0872,0.0871,0.0911,0.136,0.1324,0.1327,0.1546,0.1594,0.1238,0.1222,0.1242,0.086,0.0857,0.0884,0.0885,0.1225,0.1249,0.1254,0.1172,0.1164,0.1138,0.1054,0.1042,0.0849,0.0891,0.0864,0.0898,0.12,0.1194,0.1184,0.103,0.1018,0.0994,0.0876,0.0878,0.0871,0.0885,0.0896,0.0911,0.0937,0.0913,0.0901,0.0859,0.0876,0.0874,0.0863,0.0869,0.0866,0.0896,0.0862
7:30:05,28.5,0.0892,0.0897,0.0896,0.0894,0.0888,0.0871,0.0881,0.0863,0.086,0.0869,0.0884,0.0876,0.0911,0.0905,0.0894,0.0909,0.1062,0.1038,0.104,0.0861,0.0863,0.0852,0.0864,0.0885,0.0906,0.1676,0.1582,0.1546,0.1483,0.0876,0.1256,0.1257,0.1238,0.0863,0.0846,0.087,0.0891,0.1498,0.148,0.1496,0.1706,0.1699,0.1375,0.1384,0.1439,0.0854,0.0871,0.087,0.0911,0.1455,0.1351,0.1379,0.1594,0.1563,0.1289,0.1241,0.123,0.0858,0.0856,0.0884,0.0886,0.1263,0.1258,0.1263,0.1172,0.1166,0.1148,0.1058,0.1046,0.0848,0.0891,0.0864,0.0898,0.1214,0.121,0.1191,0.1032,0.1025,0.0999,0.0876,0.0878,0.0871,0.0883,0.0895,0.0914,0.0938,0.0914,0.0903,0.0858,0.0877,0.0874,0.0862,0.0868,0.0865,0.0895,0.0862
10:00:07,28.5,0.0892,0.0895,0.0894,0.0894,0.0886,0.0871,0.0881,0.0863,0.086,0.087,0.0884,0.0877,0.0912,0.0902,0.0893,0.0907,0.1064,0.104,0.1043,0.0862,0.0864,0.0854,0.0864,0.0886,0.0908,0.1766,0.1737,0.1641,0.1497,0.0875,0.1254,0.1259,0.1239,0.0865,0.0848,0.087,0.0892,0.1554,0.1564,0.1555,0.1726,0.1714,0.1393,0.1407,0.1468,0.0853,0.0872,0.0871,0.0908,0.1502,0.1428,0.1442,0.1577,0.1655,0.1312,0.1231,0.124,0.0859,0.0855,0.0884,0.0884,0.1293,0.1313,0.1303,0.1172,0.1184,0.1151,0.1064,0.1048,0.085,0.0889,0.0864,0.0895,0.1203,0.1205,0.1186,0.1037,0.1027,0.1004,0.0874,0.0878,0.087,0.0884,0.0893,0.0907,0.0935,0.091,0.0897,0.0857,0.0875,0.087,0.0862,0.0868,0.0862,0.0892,0.0862
12:30:09,28,0.0892,0.0895,0.0896,0.0892,0.0888,0.087,0.0879,0.0862,0.0859,0.0868,0.0884,0.0876,0.0909,0.0905,0.0894,0.0908,0.1066,0.1039,0.1042,0.086,0.0862,0.0851,0.0862,0.0885,0.0905,0.1822,0.1813,0.1785,0.1488,0.0877,0.1255,0.1257,0.1236,0.0863,0.0847,0.0867,0.089,0.1651,0.1686,0.166,0.1742,0.1734,0.1417,0.1435,0.1485,0.0853,0.087,0.087,0.0911,0.152,0.1498,0.1509,0.1649,0.1692,0.1342,0.1274,0.1232,0.0857,0.0854,0.0883,0.0888,0.1289,0.1325,0.1322,0.1172,0.1177,0.1154,0.1069,0.1052,0.0848,0.0886,0.0864,0.09,0.1216,0.1213,0.1203,0.1039,0.1031,0.1006,0.0874,0.0876,0.087,0.0881,0.0895,0.0914,0.0939,0.0913,0.0901,0.0857,0.0874,0.087,0.086,0.0866,0.086,0.0893,0.0861
15:00:11,27.5,0.0893,0.0897,0.0897,0.0893,0.0892,0.0871,0.0881,0.0864,0.0862,0.087,0.0885,0.0878,0.0912,0.0908,0.0894,0.0909,0.1068,0.1042,0.1046,0.0861,0.0863,0.0853,0.0863,0.0887,0.0906,0.1888,0.1925,0.1852,0.1484,0.0879,0.1256,0.1259,0.1241,0.0864,0.0847,0.087,0.0889,0.1679,0.1689,0.1702,0.1755,0.1751,0.1461,0.1451,0.1498,0.0854,0.0873,0.087,0.0913,0.1577,0.1542,0.1548,0.1732,0.1673,0.1319,0.1256,0.1231,0.086,0.0856,0.0884,0.0888,0.132,0.14,0.1346,0.1175,0.1164,0.1156,0.1077,0.1054,0.0851,0.089,0.0866,0.0903,0.1204,0.1192,0.1208,0.1042,0.1036,0.1013,0.0876,0.0877,0.0871,0.0883,0.0897,0.0917,0.0938,0.0916,0.0902,0.0858,0.0878,0.0872,0.0862,0.0866,0.0863,0.0892,0.0862
17:30:11,27.5,0.0894,0.0897,0.0899,0.0893,0.0892,0.0871,0.0881,0.0864,0.0861,0.087,0.0886,0.0878,0.0913,0.0907,0.0895,0.0912,0.1069,0.1043,0.1049,0.0862,0.0863,0.0853,0.0864,0.0886,0.0908,0.1902,0.1944,0.1896,0.1483,0.088,0.1257,0.1261,0.1244,0.0865,0.0849,0.0871,0.0891,0.1724,0.1737,0.176,0.1767,0.1765,0.1505,0.1486,0.154,0.0855,0.0872,0.087,0.0916,0.1617,0.1557,0.1598,0.175,0.1738,0.1352,0.1292,0.1232,0.0858,0.0857,0.0883,0.0891,0.1309,0.1416,0.1375,0.1174,0.1162,0.1154,0.108,0.1057,0.0849,0.089,0.0865,0.0902,0.1234,0.1239,0.1246,0.1043,0.1036,0.1012,0.0876,0.0878,0.0871,0.0884,0.0895,0.0917,0.0939,0.0916,0.0902,0.086,0.0877,0.0872,0.0863,0.0867,0.0864,0.089,0.0862
20:00:13,28,0.0892,0.0894,0.0894,0.0892,0.0884,0.087,0.088,0.0863,0.0858,0.0869,0.0884,0.0875,0.091,0.0902,0.0892,0.0906,0.1068,0.1044,0.1046,0.0861,0.0862,0.0852,0.0863,0.0884,0.0905,0.1921,0.2019,0.1949,0.1483,0.0874,0.1253,0.126,0.1237,0.0863,0.0846,0.0867,0.0891,0.1785,0.1749,0.1794,0.1793,0.1789,0.1528,0.1507,0.1539,0.0855,0.0869,0.0869,0.0908,0.1629,0.1599,0.1599,0.1803,0.1798,0.1438,0.1321,0.1209,0.0857,0.0855,0.0882,0.0884,0.1329,0.1426,0.1407,0.1173,0.1158,0.1148,0.1079,0.1055,0.0849,0.089,0.0863,0.0895,0.1229,0.1191,0.1181,0.1042,0.1035,0.1012,0.0872,0.0877,0.0866,0.0882,0.0893,0.0909,0.0938,0.0911,0.0897,0.0855,0.0876,0.087,0.086,0.0864,0.0863,0.0892,0.086
22:30:15,28.5,0.0894,0.0896,0.0895,0.0894,0.0883,0.0873,0.0882,0.0864,0.0861,0.087,0.0886,0.0877,0.0913,0.0902,0.0893,0.0907,0.107,0.1047,0.105,0.0864,0.0867,0.0855,0.0865,0.0887,0.0909,0.2054,0.2089,0.2064,0.1483,0.0876,0.1256,0.1258,0.1239,0.0865,0.0849,0.0872,0.0894,0.1878,0.1852,0.1835,0.1802,0.1793,0.1541,0.154,0.1564,0.0855,0.0874,0.0873,0.0908,0.1632,0.1574,0.1676,0.1836,0.1858,0.1461,0.1318,0.1222,0.086,0.086,0.0883,0.0885,0.1359,0.1484,0.1403,0.1176,0.1161,0.1152,0.1089,0.1056,0.085,0.0891,0.0866,0.0891,0.1172,0.1205,0.1187,0.1044,0.1039,0.1015,0.0876,0.0879,0.0873,0.0885,0.0894,0.0905,0.0936,0.0909,0.0899,0.0857,0.0877,0.0874,0.0863,0.0868,0.0864,0.0894,0.0862
