Name,Quantity,Unit,Compound,Formula,Quantity,Unit,Molecular_weight,Concentration,Unit,Ontology
Main Compound,0.05,g,glucose,C6H12O6,100,%,180.16,0.277537245,mmol/L,Sugars
Proteose Peptone,0.05,g,alanine,C3H7NO2,6,%,89.09,0.033672596,mmol/L,Amino acids
Proteose Peptone,0.05,g,arginine,C6H14N4O2,4.7,%,174.2,0.013490154,mmol/L,Amino acids
Proteose Peptone,0.05,g,aspartic acid,C4H7NO4,0.4,%,133.1,0.001502596,mmol/L,Amino acids
Proteose Peptone,0.05,g,glutamic acid,C5H9NO4,8.4,%,147.13,0.028546184,mmol/L,Amino acids
Proteose Peptone,0.05,g,glycine,C2H5NO2,8.2,%,75.07,0.054617875,mmol/L,Amino acids
Proteose Peptone,0.05,g,histidine,C6H9NO2,1.3,%,155.16,0.004189305,mmol/L,Amino acids
Proteose Peptone,0.05,g,isoleucine,C6H13NO2,3.3,%,131.18,0.012578616,mmol/L,Amino acids
Proteose Peptone,0.05,g,leucine,C6H13NO3,5.7,%,131.18,0.021726701,mmol/L,Amino acids
Proteose Peptone,0.05,g,lysine,C6H14N2O2,4.2,%,146.19,0.014364868,mmol/L,Amino acids
Proteose Peptone,0.05,g,methionine,C5H11NO2S,1.4,%,149.21,0.004691375,mmol/L,Amino acids
Proteose Peptone,0.05,g,phenylalanine,C9H11NO2,3.6,%,165.19,0.010896411,mmol/L,Amino acids
Proteose Peptone,0.05,g,proline,C5H9NO2,4.6,%,115.13,0.01997707,mmol/L,Amino acids
Proteose Peptone,0.05,g,serine,C3H7NO3,1.7,%,105.09,0.008088074,mmol/L,Amino acids
Proteose Peptone,0.05,g,threonine,C4H9NO3,1.5,%,119.12,0.006296172,mmol/L,Amino acids
Proteose Peptone,0.05,g,tyrosine,C9H11NO3,1.8,%,181.19,0.004967134,mmol/L,Amino acids
Proteose Peptone,0.05,g,valine,C5H11NO2,3.7,%,117.15,0.01579199,mmol/L,Amino acids
Yeast Extract,0.05,g,alanine,C3H7NO2,5.6,%,89.09,0.031427481,mmol/L,Amino acids
Yeast Extract,0.05,g,aspartic acid,C4H7NO4,5.3,%,133.1,0.019909393,mmol/L,Amino acids
Yeast Extract,0.05,g,glutamic acid,C5H9NO4,9.4,%,147.13,0.031944539,mmol/L,Amino acids
Yeast Extract,0.05,g,glycine,C2H5NO2,3,%,75.07,0.019982149,mmol/L,Amino acids
Yeast Extract,0.05,g,histidine,C6H9NO2,1.3,%,155.16,0.004189305,mmol/L,Amino acids
Yeast Extract,0.05,g,isoleucine,C6H13NO2,3,%,131.18,0.011435106,mmol/L,Amino acids
Yeast Extract,0.05,g,leucine,C6H13NO3,4.1,%,131.18,0.015627978,mmol/L,Amino acids
Yeast Extract,0.05,g,lysine,C6H14N2O2,4.6,%,146.19,0.01573295,mmol/L,Amino acids
Yeast Extract,0.05,g,methionine,C5H11NO2S,0.8,%,149.21,0.002680821,mmol/L,Amino acids
Yeast Extract,0.05,g,phenylalanine,C9H11NO2,2.6,%,165.19,0.00786963,mmol/L,Amino acids
Yeast Extract,0.05,g,proline,C5H9NO2,2,%,115.13,0.008685683,mmol/L,Amino acids
Yeast Extract,0.05,g,serine,C3H7NO3,1.6,%,105.09,0.007612305,mmol/L,Amino acids
Yeast Extract,0.05,g,threonine,C4H9NO3,1.6,%,119.12,0.006715917,mmol/L,Amino acids
Yeast Extract,0.05,g,tyrosine,C9H11NO3,1.2,%,181.19,0.003311423,mmol/L,Amino acids
Yeast Extract,0.05,g,valine,C5H11NO2,3.5,%,117.15,0.014938369,mmol/L,Amino acids
Yeast Extract,0.05,g,arginine,C6H14N4O2,2.6,%,174.2,0.007462515,mmol/L,Amino acids
Yeast Extract,0.05,g,adenine,C5H5N5,884,mg/100g,135.15,3.27E-03,mmol/L,Nucleotides
Yeast Extract,0.05,g,guanine,C5H5N5O,925,mg/100g,151.13,3.06E-03,mmol/L,Nucleotides
Yeast Extract,0.05,g,cytosine,C4H5N3O,436,mg/100g,111.1,1.96E-03,mmol/L,Nucleotides
Yeast Extract,0.05,g,uracil,C4H4N2O2,631,mg/100g,112.09,2.81E-03,mmol/L,Nucleotides
Yeast Extract,0.05,g,mannose,C6H12O6,4.58,%,180.16,0.012711206,mmol/L,Sugars
starch,0.05,g,starch,C12H22O11,100,%,342.3,0.146071978,mmol/L,Sugars
casein hydrolysate/casamino acids,0.05,g,alanine,C3H7NO2,3,%,89.09,0.016836298,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,arginine,C6H14N4O2,2.5,%,174.2,0.007175614,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,aspartic acid,C4H7NO4,2.4,%,133.1,0.009015574,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,glutamic acid,C5H9NO4,15.9,%,147.13,0.054033848,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,glycine,C2H5NO2,1.4,%,75.07,0.009325003,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,histidine,C6H9NO2,0.8,%,155.16,0.002578034,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,isoleucine,C6H13NO2,4,%,131.18,0.015246808,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,leucine,C6H13NO3,5,%,131.18,0.01905851,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,lysine,C6H14N2O2,5.2,%,146.19,0.017785074,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,methionine,C5H11NO2S,1.4,%,149.21,0.004691375,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,phenylalanine,C9H11NO2,3.6,%,165.19,0.010896411,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,proline,C5H9NO2,8,%,115.13,0.03474273,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,serine,C3H7NO3,2.1,%,105.09,0.009991151,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,threonine,C4H9NO3,1.5,%,119.12,0.006296172,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,tyrosine,C9H11NO3,0.4,%,181.19,0.001103808,mmol/L,Amino acids
casein hydrolysate/casamino acids,0.05,g,valine,C5H11NO2,5.6,%,117.15,0.02390139,mmol/L,Amino acids
