Name,Formula,ChEBI_ID,Molecular_weight,Ontology,Xlogp3,week3,week6,week9,week12
2-aminoisobutyric acid ,C4H9NO2,27971,103.1198,Amino acids,-2.81,2.28E-01,3.40E-01,2.62E-01,1.70E-01
"2,3-Dihydroxybenzoic acid",C7H6O4,18026,154.1201,Organic acids,1.2,3.03E-01,2.60E-01,3.10E-01,1.27E-01
3-Dehydroshikimic acid,C7H8O5,30918,172.1354,Organic acids,-1.39,2.67E-01,2.81E-01,3.23E-01,1.30E-01
5-aminovaleric acid,C5H11NO2,15887,117.14638,Amino acids,-2.63,1.24E-01,2.52E-01,4.91E-01,1.33E-01
abscisic acid,C15H20O4 ,2365,264.3169,Auxins,1.61,1.26E-01,1.66E-01,2.09E-01,4.99E-01
adenine,C5H5N5,16708,135.1269,Nucleotides,0.13,1.76E-01,4.22E-01,3.85E-01,1.68E-02
adenosine,C10H13N5O4,16335,267.24152,Nucleotides,-1.05,3.67E-01,3.16E-01,2.65E-01,5.20E-02
alanine,C3H7NO2,15570,89.09322,Amino acids,-2.96,1.03E-01,5.04E-01,3.87E-01,6.14E-03
alpha-ketoglutaric acid ,C5H6O5,30915,146.0981,Organic acids,-0.9,3.26E-01,3.63E-01,3.08E-01,2.99E-03
arginine,C6H14N4O2,29016,174.20112,Amino acids,-4.2,1.06E-01,3.27E-01,5.64E-01,3.50E-03
asparagine ,C4H8N2O3,22653,132.118,Amino acids,-3.41,7.20E-02,1.38E-01,7.89E-01,6.57E-04
betonicine,C7H13NO3,85533,159.183,Amino acids,-0.58,9.01E-02,1.26E-01,3.15E-01,4.68E-01
biotin ,C10H16N2O3S,15956,244.31172,Organic acids,0.33,3.83E-02,8.03E-01,1.37E-01,2.14E-02
caffeic acid,C9H8O4,36281,180.1574,Organic acids,1.15,2.41E-01,3.16E-01,2.61E-01,1.82E-01
choline,C5H13NO,15354,104.1708,Amino acids,-0.4,1.55E-01,3.14E-01,3.87E-01,1.45E-01
cis-aconitic acid,C6H6O6,32805,174.10824,Organic acids,-0.97,4.14E-01,1.29E-02,5.71E-01,3.03E-03
cytidine,C9H13N3O5,17562,243.21674,Nucleotides,-2.13,1.47E-01,4.06E-01,4.41E-01,6.51E-03
