isolate,class,phylum,response,mingt,rrn,genomesize,monomer,ontology,BGE,rgrowth,BP,BR
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,2-aminoisobutyric acid ,Amino acids,0.5916597697335099,0.059212898661097094,7.888702295992548e-9,2.9617529905857625e-9
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,2-aminoisobutyric acid ,Amino acids,0.3807435561722685,0.1273180339660363,3.192555658857247e-8,1.6846072775477656e-8
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,2-aminoisobutyric acid ,Amino acids,0.47534981324091197,0.09750986224651029,1.5603876292833275e-8,7.346933283796553e-9
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,2-aminoisobutyric acid ,Amino acids,0.590325189157306,0.057813768939795784,7.447494810407859e-9,3.2132367337718945e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,2-aminoisobutyric acid ,Amino acids,0.5905065639889766,0.06067420991609061,7.873334699290917e-9,3.3513772097786893e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,2-aminoisobutyric acid ,Amino acids,0.5940594888785853,0.06853918622595223,9.416452278000283e-9,3.2405949141201974e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,2-aminoisobutyric acid ,Amino acids,0.44195202974887715,0.09428150884890482,1.4026586496672511e-8,1.127032449778891e-8
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,2-aminoisobutyric acid ,Amino acids,0.585579068300752,0.05816537968983162,7.4152295639992e-9,3.6720213836916374e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,2-aminoisobutyric acid ,Amino acids,0.4672248076105908,0.07797031191732577,1.2315260764244992e-8,5.7240643328044705e-9
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,2-aminoisobutyric acid ,Amino acids,0.5239495633922628,0.06313193820506435,8.884370725612373e-9,3.6837125401956874e-9
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,2-aminoisobutyric acid ,Amino acids,0.5214078185248066,0.0468470426971711,6.174254226604999e-9,3.071999580644873e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,2-aminoisobutyric acid ,Amino acids,0.5876005087067968,0.049179240431690585,6.2263124452266e-9,2.814303956836606e-9
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,2-aminoisobutyric acid ,Amino acids,0.4601513940482721,0.06123160705189806,8.366041667337601e-9,6.205256714777214e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,2-aminoisobutyric acid ,Amino acids,0.4551001461948573,0.08768586767685403,1.3209846982654232e-8,7.949290569911526e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,2-aminoisobutyric acid ,Amino acids,0.48601231044337295,0.07530093039872864,1.105945119124929e-8,5.282544768457975e-9
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,2-aminoisobutyric acid ,Amino acids,0.4579551193294508,0.0948755913218459,1.56976395577464e-8,7.861048442806379e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,2-aminoisobutyric acid ,Amino acids,0.5149389829579416,0.11331441062701984,1.9467736554468258e-8,6.305649356785801e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,2-aminoisobutyric acid ,Amino acids,0.5272729513394622,0.06322094508721192,8.544095889401695e-9,3.1833455191461077e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,2-aminoisobutyric acid ,Amino acids,0.5881653862126154,0.05275413039514007,7.2968330977821895e-9,2.155880264990679e-9
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,2-aminoisobutyric acid ,Amino acids,0.5527177302185257,0.061661510419844155,7.885415689723521e-9,4.493765668180836e-9
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,2-aminoisobutyric acid ,Amino acids,0.5514542841423873,0.055992206588994,7.215054245878004e-9,3.92362688406218e-9
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,2-aminoisobutyric acid ,Amino acids,0.5869613693876259,0.05559261469308769,6.864073608467585e-9,3.4749683876564436e-9
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,2-aminoisobutyric acid ,Amino acids,0.5180123937103172,0.13503856738535816,2.3336374794307957e-8,7.2574316136105865e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,2-aminoisobutyric acid ,Amino acids,0.4329201405373575,0.06275233759881986,8.344277090266418e-9,7.887082064970484e-9
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,2-aminoisobutyric acid ,Amino acids,0.45535838575402504,0.05241217891187951,6.187857525416075e-9,6.4591257056095606e-9
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,2-aminoisobutyric acid ,Amino acids,0.47922820005765976,0.0652971686613935,8.199852439470193e-9,6.9338694135113286e-9
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,2-aminoisobutyric acid ,Amino acids,0.39785375250698324,0.036587478877211706,4.311898217114802e-9,5.285449244505462e-9
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,2-aminoisobutyric acid ,Amino acids,0.5258004865881021,0.061973705554628535,8.424232292596844e-9,3.6165869748451142e-9
Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,1.43,23,7371174,2-aminoisobutyric acid ,Amino acids,0.3180955159711231,0.07636259663915043,9.745149212653423e-9,1.7201526129563912e-8
Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,0.96,8,6208105,2-aminoisobutyric acid ,Amino acids,0.512436168786781,0.1713810749094395,5.414186728848391e-8,1.164252060139028e-8
Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,7.05,3,8179139,2-aminoisobutyric acid ,Amino acids,0.582636288038036,0.049755769337596,6.008845520910768e-9,2.9660331326986602e-9
Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,7.49,9,6646877,2-aminoisobutyric acid ,Amino acids,0.45276849203342084,0.0580095339021046,7.500425458482186e-9,6.423860492011778e-9
Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6.11,3,6640086,2-aminoisobutyric acid ,Amino acids,0.5843251037379782,0.04521442221208065,5.500787269989971e-9,2.8775871736235257e-9
Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,4.74,3,6572728,2-aminoisobutyric acid ,Amino acids,0.5860270524512385,0.05176943290705996,6.400696146887249e-9,3.298196667053403e-9
Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,6.3,3,2934896,2-aminoisobutyric acid ,Amino acids,0.5699646469136634,0.02469662189353209,2.724648906133125e-9,1.6718767189864679e-9
Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,6.78,3,2785891,2-aminoisobutyric acid ,Amino acids,0.5810522570530421,0.035936171365647106,4.180042420101791e-9,1.9850847044131763e-9
Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,0.75,13,2549675,2-aminoisobutyric acid ,Amino acids,0.4762249583414047,0.3186756497401099,6.975842837421963e-8,2.5959916714670422e-8
Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,4.04,14,8015544,2-aminoisobutyric acid ,Amino acids,0.38936268931115625,0.061374631869092075,8.488926870434307e-9,9.382917198784106e-9
Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,8.33,12,6632341,2-aminoisobutyric acid ,Amino acids,0.3989180482998047,0.035525723690519956,4.0926215465185126e-9,5.388463531967267e-9
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.010683384349468573,NaN,3.702500774039517e-10
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,"2,3-Dihydroxybenzoic acid",Organic acids,0.35803785812405664,0.04350304704384686,4.882866559014478e-9,7.932675203199043e-9
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,"2,3-Dihydroxybenzoic acid",Organic acids,0.2559211549765914,0.00518621740941474,1.6232152544817394e-10,5.309173546692733e-10
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,"2,3-Dihydroxybenzoic acid",Organic acids,0.6296627995055951,0.022735812946648077,2.2914274336982043e-9,1.3226306095133192e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,"2,3-Dihydroxybenzoic acid",Organic acids,0.6229929808717564,0.020320177226887285,2.010547453612779e-9,1.1973741801947557e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,"2,3-Dihydroxybenzoic acid",Organic acids,0.6289540834910543,0.022143030516652364,2.232294873718443e-9,1.2852413865802225e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,"2,3-Dihydroxybenzoic acid",Organic acids,0.44095931922142345,0.023351979110283905,2.288940272264188e-9,2.8786881366297606e-9
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,"2,3-Dihydroxybenzoic acid",Organic acids,0.6390502130907341,0.03175817496332517,3.382139939979601e-9,1.809315485012492e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.009419254211656954,NaN,7.667812871958529e-10
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.005487987840414119,NaN,3.259522431982086e-10
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,"2,3-Dihydroxybenzoic acid",Organic acids,0.5733031694133204,0.03630495955806645,4.234057141227889e-9,2.535455997450304e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,"2,3-Dihydroxybenzoic acid",Organic acids,0.3354236314583735,0.009880429355385342,1.0929011476722674e-10,4.018176517011742e-10
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,"2,3-Dihydroxybenzoic acid",Organic acids,0.4994130403085395,0.039303528810260245,4.636829412963196e-9,3.8974890794632516e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,"2,3-Dihydroxybenzoic acid",Organic acids,0.441384332953765,0.015773096053838823,1.4379698859880035e-9,1.81405133271561e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,"2,3-Dihydroxybenzoic acid",Organic acids,0.39099205677859594,0.006455261466562282,4.10626263435771e-10,6.402838404343852e-10
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,"2,3-Dihydroxybenzoic acid",Organic acids,0.4458110143767508,0.01778700431644834,1.6522811294341337e-9,2.041937003153662e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,"2,3-Dihydroxybenzoic acid",Organic acids,0.5121722483078941,0.01943137120901881,1.8468787257595221e-9,1.7405350799432164e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,"2,3-Dihydroxybenzoic acid",Organic acids,0.5538650670620918,0.021232446252389733,2.1905283357907334e-9,1.660723814336194e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,"2,3-Dihydroxybenzoic acid",Organic acids,0.4787746272994174,0.00553056552140374,2.791121535328296e-10,3.127539534486866e-10
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,"2,3-Dihydroxybenzoic acid",Organic acids,0.445747202375536,0.005706202300834798,3.242243661414002e-10,4.0886849170818385e-10
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,"2,3-Dihydroxybenzoic acid",Organic acids,0.342893157055044,0.00939935612500193,1.5132186707611124e-10,5.026859202794744e-10
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.0063335551762035815,NaN,2.6606282836637015e-10
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,"2,3-Dihydroxybenzoic acid",Organic acids,0.49353329471718804,0.01520184080442932,1.3305827350190027e-9,1.3654549534968258e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.008113738724014446,NaN,8.014509915559064e-10
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,"2,3-Dihydroxybenzoic acid",Organic acids,0.4176515943506756,0.009527233291618203,7.628888514804396e-10,1.0637329390657254e-9
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,"2,3-Dihydroxybenzoic acid",Organic acids,0.443487303781709,0.009728145209943528,7.79437982630861e-10,9.780848598850985e-10
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,"2,3-Dihydroxybenzoic acid",Organic acids,0.3520193635470688,0.007765319853667685,5.790098746926763e-10,1.065939348772886e-9
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,"2,3-Dihydroxybenzoic acid",Organic acids,NaN,0.005968210660726748,NaN,3.3846341212427615e-10
