,rgrowth,xenzyme,rGco2,rMco2,rXco2,jEX,jDE,jDEco2,jD,jED,jV,jE,dreserve,response,isolate,ontology,turnover,pc1,pc2
26,0.0365874788772117,0.00010697088099,0.0004182249741425,3.613267340537496e-06,1.2227651455905036e-06,1.401162574205964e-06,0.0009057917498301,0.0003019305832767,0.0012077223331068,2.178387393486919e-06,0.0008946970509285,2.178387393486919e-06,0.0667300181060358,undefined,Nocardioides sp. URHA0020,Amino acids,0.0008968754383219869,0.436797164799674,-0.042753692029776094
34,0.024696621893532,0.0001005844917398,0.0002819111506175,2.295589377421254e-07,1.1481687626309477e-06,4.271838161598437e-06,0.001338361716781,0.0004461205722603,0.0017844822890413,3.2244951886186586e-06,0.0015281110612327,3.2244951886186586e-06,0.0302651828170866,positive,Sphingomonas sp. URHD0007,Amino acids,0.0015313355564213187,0.38096382502960685,-0.047266120692900156
35,0.0359361713656471,7.388231129803491e-05,0.0002847134959965,1.55533230776003e-07,5.853514813232681e-07,2.177839074924083e-06,0.0013489101646594,0.0004496367215531,0.0017985468862126,3.3919857816638306e-06,0.0015142945722532,3.3919857816638306e-06,0.0467738908332914,positive,Sphingomonas sp. URHD0057,Amino acids,0.0015176865580348638,0.40436071345001917,-0.0036132371631746006
38,0.0355257236905199,7.469801572656688e-05,0.0003708734617436,4.662452570334318e-05,7.798155477205257e-07,8.935880812355496e-07,0.0008743106271093,0.0002914368757031,0.0011657475028124,2.500050534131969e-06,0.0007129563170056,2.500050534131969e-06,0.0795359746465615,positive,Variovorax sp. URHB0020,Amino acids,0.000715456367539732,0.43901583647946946,0.0713498989463379
39,0.0106833843494685,8.245190187573082e-05,2.503821034563601e-07,1.1556105133465252e-08,1.932391454834229e-09,7.189590788894263e-09,1.0875791490841097e-07,2.1431117670718175e-08,1.3018903257912914e-07,3.1375147452091173e-09,1.700962625093631e-07,3.1375147452091173e-09,0.0141690489598957,positive,Acidobacteriaceae bacterium URHE0068,Organic acids,1.7323377725457222e-07,-0.23171545627422022,0.0012715495691929726
41,0.0051862174094147,1.19732005739004e-05,2.714162486073856e-07,6.027263187128866e-10,6.266072027162787e-10,9.73240974431667e-10,1.9516852696684572e-07,3.84586231776289e-08,2.3362715014447467e-07,1.193843398610736e-09,7.837340189041965e-08,1.193843398610736e-09,0.0050670475197328,undefined,Blastococcus sp. URHD0036,Organic acids,7.956724528903038e-08,-0.26621031040156923,-0.006053844215954727
42,0.022735812946648,3.329127329768744e-05,0.0002910524488841,0.0001166955729289,4.261781464555324e-07,1.585624107641055e-06,0.0015504659676013,0.0003055246013505,0.0018559905689519,3.6645198185564713e-06,0.0012540271464605,3.6645198185564713e-06,0.0273303621341419,positive,Bradyrhizobium sp. URHA0002,Organic acids,0.0012576916662790565,0.3073955884522586,0.1815447410440167
43,0.0203201772268872,3.869179821262583e-05,0.0002793202751876,0.0001436478215537,5.318557807632819e-07,1.9788047669274576e-06,0.0014681370872871,0.0002893014149902,0.0017574385022774,3.355632733511082e-06,0.0012310534815469,3.355632733511082e-06,0.0234922845953113,positive,Bradyrhizobium sp. URHA0013,Organic acids,0.001234409114280411,0.30444143230079973,0.2199774160852467
44,0.0221430305166523,3.73351426914239e-05,0.0003009131054675,9.926072412982968e-05,5.073665829933599e-07,1.8876910796496672e-06,0.0015667734914276,0.0003087380544802,0.0018755115459078,3.443686358039364e-06,0.0013095597626366,3.443686358039364e-06,0.0243164876276468,positive,Bradyrhizobium sp. URHD0069,Organic acids,0.0013130034489946393,0.30183601449318426,0.14338899057815294
45,0.0233519791102839,4.17393179857178e-05,0.000432265436507,7.001129696922386e-05,7.726310658036225e-07,1.0134755302978088e-06,0.0011159688480248,0.0002199054636071,0.0013358743116319,1.8527995148285437e-06,0.0006418280294325,1.8527995148285437e-06,0.0233640719511267,positive,Burkholderia sp. URHA0054,Organic acids,0.0006436808289473286,0.22494952027834642,0.05471764672357743
