genomesize,mingt,rrn,gramstain,kE,yEV,aX,gV,sav,yield,rho,Vmax,KD,BGE
6.679185,7.0,3,2,0.9907577927636582,1.2687762783132508,0.00771776987316121,0.25094098993280134,1.6457272122219626,0.25,0.003192071535322798,0.03413187197768359,0.008627159069722811,0.5971380763065897
5.37721,1.31,20,1,2.2477286136540786,2.2709811740999424,0.003288109736099957,0.3663924020655212,2.321819453741311,0.25,0.021797178880444367,0.26193562616012384,0.03781671170055238,0.38325885179950014
6.972827,6.09,3,2,1.088478186013862,1.2687762783132508,0.0014642657984479742,0.2542297809368883,1.5370870279404814,0.25,0.0029887865335229535,0.031773397625518576,0.008646114557083924,0.5962245207719529
7.193102,5.73,3,2,1.1326637389803507,1.2687762783132508,0.0019041073205517832,0.2558346230302514,1.463046917347435,0.25,0.00317475268626521,0.033627991997868235,0.009529875132472729,0.5961694778626301
6.793945,5.32,3,2,1.1875567207318467,1.2687762783132508,0.0016860900166012288,0.25794212383275567,1.6018214822176178,0.25,0.0037961313855042612,0.04033144768996936,0.010313364116620654,0.5988901834965369
7.244804,2.43,10,2,1.8018828768112505,1.7623578889729934,0.0017873995942098266,0.2956261271007896,1.4465087859075414,0.25,0.008106590573943251,0.08357493483342619,0.02298857629494031,0.4460596125336281
5.642219,2.9,3,2,1.6624263683109595,1.2687762783132508,0.007238338033028915,0.28384083070483,2.1511220229006907,0.25,0.0029326637861729304,0.03107363040700106,0.00636870995859511,0.5925564842905306
4.904121,6.24,5,2,1.071066953253495,1.4398745025029083,0.0021327161877211513,0.2536184150270583,2.687285910756417,0.25,0.0027118079424364493,0.02963437349965672,0.004980655065161583,0.5285754588601238
6.067264,6.09,3,2,1.088478186013862,1.2687762783132508,0.0024626534989937664,0.2542297809368883,1.916888564603415,0.25,0.002454530461748853,0.026380529647123098,0.0060440591738169375,0.5945014411045515
5.236918,2.72,9,1,1.7132422293119067,1.7043361957598753,0.003851715463282132,0.28781928729354134,2.421322348681541,0.25,0.005950775950402447,0.07533764580807925,0.010657332750421614,0.45918174528426725
4.705879,3.6,7,1,1.4902886097811696,1.58023989156911,0.002592986620307021,0.27246639527129346,2.8691878801728037,0.25,0.004512342992472194,0.0582358353513694,0.0071892217342884104,0.4904784988667915
5.093035,2.24,9,1,1.8650105792362643,1.7043361957598753,0.0029826213775415965,0.3019879542099821,2.5307984038325233,0.25,0.007159141962003814,0.08991112888092685,0.012111849789882159,0.4616797135379314
6.306952,4.7,4,2,1.281439026953949,1.3597733711048157,0.0024085477529506433,0.26187310585119505,1.8025525095001214,0.25,0.0033505487841171684,0.03570803367900187,0.00831038692257657,0.5585929623622086
6.069513,5.01,4,2,1.2327180846114631,1.3597733711048157,0.0027899731177951355,0.2597785953516882,1.9157612512114506,0.25,0.0030512461029451087,0.032664021228116055,0.007267666420942874,0.5578790145361843
7.106298,5.12,3,2,1.2163061986697106,1.2687762783132508,0.002628226560249605,0.2590999722798956,1.4915155391345418,0.25,0.002752022538697893,0.029110209968373435,0.00825684707388573,0.5936277902536804
7.372737,4.16,10,1,1.3761459723751228,1.7623578889729934,0.005978462043446118,0.26632213159434154,1.406870904819919,0.25,0.003934048020716046,0.04925960885500281,0.011984496239464371,0.43866117772421953
7.485871,4.36,8,1,1.339486861729633,1.643835616438356,0.0016965739298848562,0.264536853613385,1.373271716118754,0.25,0.0026995075571813972,0.03380724860611738,0.008729589805179606,0.46314180479194894
6.657122,3.83,7,1,1.4412048173616492,1.58023989156911,0.001384076707622303,0.26970810454414107,1.6543931908633818,0.25,0.0034087134336479802,0.04293351528555179,0.009100523624236684,0.4853074964327018
7.371174,1.43,23,1,2.190244495183127,2.411300309566033,0.01,0.352352262187274,1.4073444517810836,0.25,0.0066617451072977715,0.07854833785729083,0.01957641468090108,0.32458309985800965
6.208105,0.96,8,2,2.431609474667157,1.643835616438356,0.0015242966490819094,0.43418218383357904,1.8483217029468217,0.25,0.03752329035215156,0.36625125516362006,0.08058510302467549,0.5144900257533527
8.179139,7.05,3,2,0.985893884622813,1.2687762783132508,0.0018572364484290543,0.2507859554172338,1.1931650486240597,0.25,0.0024611373149569685,0.025898941980812436,0.009109519215530767,0.5899886271750806
6.640086,6.11,3,1,1.08612411058435,1.2687762783132508,0.004200386658945177,0.2541464445132815,1.6611356616006563,0.25,0.0018289844075573087,0.023343073784259944,0.0053408799610130874,0.5922936715496006
6.572728,4.74,3,1,1.274937838029642,1.2687762783132508,0.003334125660012262,0.26158646041813804,1.6882382789122592,0.25,0.002124339222014268,0.026964204325931176,0.005957219105296426,0.5931932516415275
2.934896,6.3,3,2,1.0642571720425118,1.2687762783132508,0.004072803647943618,0.25338241454647425,6.070606278803607,0.25,0.001044957233125833,0.011794757252471668,0.0017005510187424466,0.585386622723959
2.785891,6.78,3,2,1.012740988330837,1.2687762783132508,0.0020559316279491623,0.25165153039833005,6.594023235112028,0.25,0.0015645644152328774,0.01771821725965748,0.001955814597534512,0.5910770328295184
8.015544,4.04,14,1,1.3991161579189044,1.9773319509261735,0.0056232905596183365,0.2674845648309098,1.2320502977655905,0.25,0.0045439732203083885,0.05643048120666451,0.0154795041786059,0.39490767787201686
6.632341,8.33,12,2,0.8758086875903657,1.8726789939300528,0.00210264585676827,0.24747385534105326,1.664215784202945,0.25,0.0024162353558404123,0.02591681464682356,0.006715762094334308,0.4090079359026024
6.679185,7.0,3,2,0.9907577927636582,1.2687762783132508,0.00771776987316121,0.25094098993280134,1.6457272122219626,0.1646153846153846,2.5993742222721076e-5,0.0002779433580823885,0.0012704000955187202,0.15143409959947596
5.37721,1.31,20,1,2.2477286136540786,2.2709811740999424,0.003288109736099957,0.3663924020655212,2.321819453741311,0.1646153846153846,0.0015813568025323773,0.019003086891464974,0.004315080019008207,0.3722169941603523
6.972827,6.09,3,2,1.088478186013862,1.2687762783132508,0.0014642657984479742,0.2542297809368883,1.5370870279404814,0.1646153846153846,0.0004884900216135746,0.005193073348912381,0.0026525286450155305,0.6476284678496174
7.193102,5.73,3,2,1.1326637389803507,1.2687762783132508,0.0019041073205517832,0.2558346230302514,1.463046917347435,0.1646153846153846,0.0004374663289827116,0.004633782742829529,0.0025665277204758104,0.6443592583555101
6.793945,5.32,3,2,1.1875567207318467,1.2687762783132508,0.0016860900166012288,0.25794212383275567,1.6018214822176178,0.1646153846153846,0.00047673233124159416,0.005064973555185165,0.0025601592542702123,0.6478132515097206
7.244804,2.43,10,2,1.8018828768112505,1.7623578889729934,0.0017873995942098266,0.2956261271007896,1.4465087859075414,0.1646153846153846,0.0007062226155614662,0.0072808054798222405,0.0034324645485345985,0.46506194621107527
5.642219,2.9,3,2,1.6624263683109595,1.2687762783132508,0.007238338033028915,0.28384083070483,2.1511220229006907,0.1646153846153846,0.000702111035363685,0.0074393590293004375,0.002691842730920881,0.6531248264841517
4.904121,6.24,5,2,1.071066953253495,1.4398745025029083,0.0021327161877211513,0.2536184150270583,2.687285910756417,0.1646153846153846,0.0009551656572565332,0.010437957422513352,0.0028247701240834058,0.5835732999332824
6.067264,6.09,3,2,1.088478186013862,1.2687762783132508,0.0024626534989937664,0.2542297809368883,1.916888564603415,0.1646153846153846,7.359138163178586e-5,0.0007909372709625466,0.001373811655224827,0.5687363481821597
5.236918,2.72,9,1,1.7132422293119067,1.7043361957598753,0.003851715463282132,0.28781928729354134,2.421322348681541,0.1646153846153846,0.00037004657795906246,0.004684840809858794,0.001897529905771156,0.47732260289302586
4.705879,3.6,7,1,1.4902886097811696,1.58023989156911,0.002592986620307021,0.27246639527129346,2.8691878801728037,0.1646153846153846,0.00013617266099201107,0.0017574303810942993,0.0014153169664778808,0.4870727364515721
5.093035,2.24,9,1,1.8650105792362643,1.7043361957598753,0.0029826213775415965,0.3019879542099821,2.5307984038325233,0.1646153846153846,0.0004214692759082039,0.005293201138719539,0.0019602631635223257,0.47966043100624733
