monomer,ontology,isolate,response,percent_uptake
2-aminoisobutyric acid ,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.9991898630460356
2-aminoisobutyric acid ,Amino acids,Bacillus sp. URHB0009,negative,0.9953752780647331
2-aminoisobutyric acid ,Amino acids,Blastococcus sp. URHD0036,undefined,0.9945412387435925
2-aminoisobutyric acid ,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.9999885075927659
2-aminoisobutyric acid ,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.9999935812586056
2-aminoisobutyric acid ,Amino acids,Bradyrhizobium sp. URHD0069,positive,0.9999999550416278
2-aminoisobutyric acid ,Amino acids,Burkholderia sp. URHA0054,positive,0.9998258071589643
2-aminoisobutyric acid ,Amino acids,Caulobacter sp. URHA0033,positive,0.9870475723078433
2-aminoisobutyric acid ,Amino acids,Cellulomonas sp. URHD0024,undefined,0.9999832050264318
2-aminoisobutyric acid ,Amino acids,Cellulomonas sp. URHE0023,undefined,0.9999999999347892
2-aminoisobutyric acid ,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.999999936515529
2-aminoisobutyric acid ,Amino acids,Dongia sp. URHE0060,positive,0.9999999990367502
2-aminoisobutyric acid ,Amino acids,Flavobacterium sp. URHB0058,undefined,0.9999996926917872
2-aminoisobutyric acid ,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.9972946075085745
2-aminoisobutyric acid ,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.9999357217838173
2-aminoisobutyric acid ,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.9996654922127227
2-aminoisobutyric acid ,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.9999994237422972
2-aminoisobutyric acid ,Amino acids,Lysobacter sp. URHA0019,undefined,0.9999999973595132
2-aminoisobutyric acid ,Amino acids,Marmoricola sp. URHB0036,undefined,0.9998135095396986
2-aminoisobutyric acid ,Amino acids,Mesorhizobium sp. URHA0056,positive,0.9999999618316487
2-aminoisobutyric acid ,Amino acids,Mesorhizobium sp. URHB0007,positive,0.999999932516223
2-aminoisobutyric acid ,Amino acids,Mesorhizobium sp. URHC0008,positive,0.9999533636498567
2-aminoisobutyric acid ,Amino acids,Microbacterium sp. URHA0036,undefined,0.9999999991866839
2-aminoisobutyric acid ,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.9995466809267156
2-aminoisobutyric acid ,Amino acids,Mycobacterium sp. URHB0044,positive,0.9804194996039195
2-aminoisobutyric acid ,Amino acids,Mycobacterium sp. URHD0025,positive,0.9813727868639802
2-aminoisobutyric acid ,Amino acids,Nocardioides sp. URHA0020,undefined,0.9998439083495025
2-aminoisobutyric acid ,Amino acids,Nocardioides sp. URHA0032,undefined,0.9999956160174138
2-aminoisobutyric acid ,Amino acids,Paenibacillus sp. URHA0014,negative,0.9999993449792121
2-aminoisobutyric acid ,Amino acids,Pseudomonas sp. URHB0015,positive,0.99112735017383
2-aminoisobutyric acid ,Amino acids,Rhodospirillales bacterium URHD0017,positive,0.9999999938524669
2-aminoisobutyric acid ,Amino acids,Rhodospirillales bacterium URHD0088,undefined,0.9999999999336621
2-aminoisobutyric acid ,Amino acids,Solirubrobacter sp. URHD0082,negative,0.9999994769876807
2-aminoisobutyric acid ,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.9999568447449898
2-aminoisobutyric acid ,Amino acids,Sphingomonas sp. URHD0007,positive,0.9999986349525899
2-aminoisobutyric acid ,Amino acids,Sphingomonas sp. URHD0057,positive,0.9999999749074148
2-aminoisobutyric acid ,Amino acids,Staphylococcus sp. URHA0057,undefined,0.9999971547145352
2-aminoisobutyric acid ,Amino acids,Streptomyces sp. URHA0041,positive,0.9984560494251967
2-aminoisobutyric acid ,Amino acids,Variovorax sp. URHB0020,positive,0.9999995910132493
"2,3-Dihydroxybenzoic acid",Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.4979714300649983
"2,3-Dihydroxybenzoic acid",Organic acids,Bacillus sp. URHB0009,negative,0.9974707629405742
"2,3-Dihydroxybenzoic acid",Organic acids,Blastococcus sp. URHD0036,undefined,0.6744075697506687
"2,3-Dihydroxybenzoic acid",Organic acids,Bradyrhizobium sp. URHA0002,positive,0.9999771311041766
"2,3-Dihydroxybenzoic acid",Organic acids,Bradyrhizobium sp. URHA0013,positive,0.9999850604261307
"2,3-Dihydroxybenzoic acid",Organic acids,Bradyrhizobium sp. URHD0069,positive,0.9999997339891741
"2,3-Dihydroxybenzoic acid",Organic acids,Burkholderia sp. URHA0054,positive,0.9998536940757445
"2,3-Dihydroxybenzoic acid",Organic acids,Caulobacter sp. URHA0033,positive,0.986544453928684
"2,3-Dihydroxybenzoic acid",Organic acids,Cellulomonas sp. URHD0024,undefined,0.6993200037140792
"2,3-Dihydroxybenzoic acid",Organic acids,Cellulomonas sp. URHE0023,undefined,0.9700171784240473
