KD,Vmax,ontology,response
0.008627159069722813,5.267264194086974e-8,Amino acids,positive
0.037816711700552376,4.04221645308833e-7,Amino acids,negative
0.01189241984727799,1.3381542886510149e-7,Amino acids,undefined
0.008646114557083926,4.903302102703484e-8,Amino acids,positive
0.00952987513247273,5.189504937942629e-8,Amino acids,positive
0.010313364116620654,6.223988841044654e-8,Amino acids,positive
0.022988576294940312,1.2897366486639845e-7,Amino acids,positive
0.0063687099585951115,4.7953133344137435e-8,Amino acids,positive
0.007040073938037842,1.0379693267710677e-7,Amino acids,undefined
0.005136646400635955,6.529870069422534e-8,Amino acids,undefined
0.004980655065161583,4.573205786984062e-8,Amino acids,positive
0.0060440591738169375,4.071069389988132e-8,Amino acids,positive
0.007977543738944489,7.036847593541472e-8,Amino acids,undefined
0.010657332750421616,1.1626179908654206e-7,Amino acids,negative
0.007189221734288412,8.987011628297746e-8,Amino acids,negative
0.012111849789882159,1.3875174210019575e-7,Amino acids,negative
0.01138009645021443,1.5527340793526923e-7,Amino acids,undefined
0.0037700612242678746,6.32826426074374e-8,Amino acids,undefined
0.004388536640430671,4.7092090693697946e-8,Amino acids,undefined
0.00831038692257657,5.510499024537327e-8,Amino acids,positive
0.007267666420942875,5.040744016684577e-8,Amino acids,positive
0.008256847073885729,4.492316353144049e-8,Amino acids,positive
0.011352514909817521,1.8756965260397778e-7,Amino acids,undefined
0.011984496239464371,7.601791489969569e-8,Amino acids,negative
0.008729589805179606,5.2171679947712004e-8,Amino acids,positive
0.009100523624236686,6.62554248233824e-8,Amino acids,positive
0.0038169272283526934,4.1637578853532956e-8,Amino acids,undefined
0.005045844238274316,6.229359885857602e-8,Amino acids,undefined
0.01957641468090108,1.2121657076742413e-7,Amino acids,negative
0.08058510302467549,5.65202554264846e-7,Amino acids,positive
0.009109519215530769,3.9967503056809317e-8,Amino acids,positive
0.010614395401311748,6.705259042488746e-8,Amino acids,undefined
0.005340879961013087,3.602326201274683e-8,Amino acids,negative
0.005957219105296425,4.1611426428906136e-8,Amino acids,negative
0.0017005510187424464,1.8201785883443933e-8,Amino acids,positive
0.001955814597534512,2.734292786984179e-8,Amino acids,positive
0.025467286782934296,8.530934357014073e-7,Amino acids,undefined
0.015479504178605906,8.708407593621066e-8,Amino acids,positive
0.006715762094334309,3.999508433151784e-8,Amino acids,positive
0.0012704000955187202,4.2892493531232796e-10,Organic acids,positive
0.004315080019008209,2.9325751375717558e-8,Organic acids,negative
0.001378952499609638,1.9069549408558263e-9,Organic acids,undefined
0.00265252864501553,8.01400208165491e-9,Organic acids,positive
0.0025665277204758104,7.150899294490014e-9,Organic acids,positive
0.002560159254270212,7.81631721479192e-9,Organic acids,positive
