isolate,class,phylum,response,mingt,rrn,genomesize,monomer,ontology,BGE,rgrowth,BP,BR
Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,7.0,3,6679185,2-aminoisobutyric acid ,Amino acids,0.5916597698806537,0.05921293497860718,7.88870230593358e-9,2.961760324055357e-9
Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,1.31,20,5377210,2-aminoisobutyric acid ,Amino acids,0.38074355624591516,0.12731803455077856,3.192555661508358e-8,1.6846072870330357e-8
Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,2.78,8,5177578,2-aminoisobutyric acid ,Amino acids,0.47534981323883024,0.09750986355708928,1.5603876291655264e-8,7.346933469038924e-9
Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6972827,2-aminoisobutyric acid ,Amino acids,0.5903251891732622,0.05781376446942979,7.447494811459616e-9,3.2132367337718945e-9
Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,5.73,3,7193102,2-aminoisobutyric acid ,Amino acids,0.5905065639853728,0.06067420884802235,7.87333469615098e-9,3.3513772097786893e-9
Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,5.32,3,6793945,2-aminoisobutyric acid ,Amino acids,0.5940594888118644,0.06853918485757429,9.416452270204001e-9,3.240594951819146e-9
Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,2.43,10,7244804,2-aminoisobutyric acid ,Amino acids,0.44195202980451015,0.09428149872394415,1.4026586494008745e-8,1.1270322472504384e-8
Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,2.9,3,5642219,2-aminoisobutyric acid ,Amino acids,0.5855790683079922,0.05816534436611518,7.415229565079028e-9,3.672014787739466e-9
Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,2.52,8,4210445,2-aminoisobutyric acid ,Amino acids,0.46722480756122187,0.0779704641072309,1.2315260751034117e-8,5.724083172613971e-9
Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,3.57,5,4467545,2-aminoisobutyric acid ,Amino acids,0.5239495634073192,0.06313196696054185,8.884370730098198e-9,3.6837173785247197e-9
Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,6.24,5,4904121,2-aminoisobutyric acid ,Amino acids,0.5214078185452263,0.0468471002282267,6.174254228398495e-9,3.0720132297453828e-9
Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6.09,3,6067264,2-aminoisobutyric acid ,Amino acids,0.5876005087315467,0.049179112939235756,6.226312449549642e-9,2.814286959540826e-9
Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,3.33,8,5264264,2-aminoisobutyric acid ,Amino acids,0.460151394020053,0.061231561151123486,8.366041667279255e-9,6.2052450292374865e-9
Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,2.72,9,5236918,2-aminoisobutyric acid ,Amino acids,0.4551001462513433,0.08768588639981681,1.3209846990718145e-8,7.949294388992628e-9
Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,3.6,7,4705879,2-aminoisobutyric acid ,Amino acids,0.4860123104398223,0.07530092133847685,1.1059451189907884e-8,5.282543304505031e-9
Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,2.24,9,5093035,2-aminoisobutyric acid ,Amino acids,0.4579551193116182,0.09487558264311477,1.5697639551386897e-8,7.861047179745914e-9
Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,2.25,6,4567713,2-aminoisobutyric acid ,Amino acids,0.5149389828992621,0.11331441839849679,1.9467736537808368e-8,6.305649947422674e-9
Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,5.26,5,3223982,2-aminoisobutyric acid ,Amino acids,0.5272729513342046,0.06322101756116882,8.544095888988108e-9,3.18335458962701e-9
Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,3.88,3,4829548,2-aminoisobutyric acid ,Amino acids,0.5881653862102078,0.05275409559157068,7.2968330981162174e-9,2.155875292558093e-9
Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,4.7,4,6306952,2-aminoisobutyric acid ,Amino acids,0.5527177302361391,0.061661514929054306,7.88541569033461e-9,4.493766630633889e-9
Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,5.01,4,6069513,2-aminoisobutyric acid ,Amino acids,0.5514542841177001,0.055992203134694746,7.215054243511177e-9,3.923626141720283e-9
Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,5.12,3,7106298,2-aminoisobutyric acid ,Amino acids,0.5869613694710593,0.05559261423385163,6.8640736079089515e-9,3.4749683365090167e-9
Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,1.82,6,4034872,2-aminoisobutyric acid ,Amino acids,0.5180123936973556,0.13503834948519694,2.333637480159116e-8,7.257417609641529e-9
Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,4.16,10,7372737,2-aminoisobutyric acid ,Amino acids,0.43292014052785044,0.06275233567062304,8.344277099842474e-9,7.887081580982136e-9
Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,4.36,8,7485871,2-aminoisobutyric acid ,Amino acids,0.45535838597422923,0.052412186504098915,6.187857524608821e-9,6.459127212207976e-9
Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,3.83,7,6657122,2-aminoisobutyric acid ,Amino acids,0.4792282001045819,0.06529716422240323,8.199852443095089e-9,6.933868399012308e-9
Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,6.28,12,4684622,2-aminoisobutyric acid ,Amino acids,0.39785375251926264,0.03658768395534523,4.3118982186617304e-9,5.285525405717348e-9
Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4.82,5,4560838,2-aminoisobutyric acid ,Amino acids,0.5258004865776458,0.06197370112098733,8.424232289757632e-9,3.616586093020719e-9
