,rgrowth,xenzyme,rGco2,rMco2,rXco2,jEX,jDE,jDEco2,jD,jED,jV,jE,dreserve,response,isolate,ontology,turnover,pc1,pc2
26,0.0365876839553452,0.0001069714805774,0.00041822495076,3.613256994539675e-06,1.2227650772270165e-06,1.401162495868468e-06,0.0009057916995515,0.0003019305665171,0.0012077222660687,2.1783872717047368e-06,0.0008946944981534,2.1783872717047368e-06,0.0667304053685647,undefined,Nocardioides sp. URHA0020,Amino acids,0.0008968728854251047,0.4368194547437589,-0.04318055875433805
34,0.0246965997686973,0.0001005844016297,0.0002819119385547,2.2956542325301825e-07,1.148171971744787e-06,4.271850101319679e-06,0.0013383654491068,0.0004461218163689,0.0017844872654758,3.2245042011302424e-06,0.0015281539731321,3.2245042011302424e-06,0.0302651550597745,positive,Sphingomonas sp. URHD0007,Amino acids,0.0015313784773332304,0.3809772837246432,-0.04782567576651568
35,0.035936145614443,7.388225835532003e-05,0.0002847135333744,1.555337346897651e-07,5.853515581696744e-07,2.1778393608362428e-06,0.0013489103353936,0.0004496367784645,0.0017985471138582,3.391986226991344e-06,0.0015142994489096,3.391986226991344e-06,0.0467738560830815,positive,Sphingomonas sp. URHD0057,Amino acids,0.0015176914351365913,0.4043766392947771,-0.0036199718636353894
38,0.0355257237140941,7.46980157761343e-05,0.0003708734557226,4.6624267587103306e-05,7.798155350605106e-07,8.935880667284797e-07,0.0008743106130065,0.0002914368710021,0.0011657474840087,2.500050493581471e-06,0.0007129523812808,2.500050493581471e-06,0.0795359747015128,positive,Variovorax sp. URHB0020,Amino acids,0.0007154524317743814,0.4391063634890013,0.07238592829673095
39,0.0106833816200138,8.245188081042735e-05,2.503820402503936e-07,1.1556105067796712e-08,1.932390967025125e-09,7.189588973968082e-09,1.0875791429038506e-07,2.1431117548934064e-08,1.301890318393191e-07,3.1375139523558103e-09,1.7009626154277727e-07,3.1375139523558103e-09,0.014169045335992,positive,Acidobacteriaceae bacterium URHE0068,Organic acids,1.732337754951331e-07,-0.23174266659794873,0.0012771039874363327
41,0.0051862173846947,1.197320051683036e-05,2.714162277038225e-07,6.027263187454036e-10,6.266071544571077e-10,9.732408994759332e-10,1.9516852697737506e-07,3.845862317970374e-08,2.336271501570788e-07,1.193843306664949e-09,7.837340189464785e-08,1.193843306664949e-09,0.0050670474955696,undefined,Blastococcus sp. URHD0036,Organic acids,7.95672452013128e-08,-0.26624177773269525,-0.006152850557784504
42,0.0227358031255799,3.3291258917033244e-05,0.0002910486932055,0.0001166918979505,4.261726471439193e-07,1.585603647086844e-06,0.0015504459585094,0.0003055206584908,0.0018559666170002,3.6644725275556606e-06,0.0012539878494158,3.6644725275556606e-06,0.0273303501730924,positive,Bradyrhizobium sp. URHA0002,Organic acids,0.0012576523219433558,0.30755316389394427,0.18387700732396423
43,0.0203201786661485,3.86918009531336e-05,0.0002792954007006,0.0001436179863284,5.318084170705017e-07,1.978628547161794e-06,0.0014679884298754,0.0002892721215408,0.0017572605514163,3.355292959205332e-06,0.0012307990254846,3.355292959205332e-06,0.0234922862705034,positive,Bradyrhizobium sp. URHA0013,Organic acids,0.0012341543184438053,0.3045712875343121,0.22275907992043575
44,0.0221430310482125,3.733514358768224e-05,0.0003009120839399,9.926072775281288e-05,5.073648606058745e-07,1.8876846713925984e-06,0.0015667681725484,0.0003087370063769,0.0018755051789254,3.4436746674549637e-06,0.0013095598101924,3.4436746674549637e-06,0.0243164882184188,positive,Bradyrhizobium sp. URHD0069,Organic acids,0.001313003484859855,0.30197603595178096,0.14523605542695256
45,0.0233519785397736,4.173931696598821e-05,0.0004322625629313,7.000977923423478e-05,7.726259295756659e-07,1.0134687930054806e-06,0.001115968673632,0.0002199054292424,0.0013358741028744,1.8527992253172824e-06,0.000641814145816,1.8527992253172824e-06,0.0233640713772994,positive,Burkholderia sp. URHA0054,Organic acids,0.0006436669450413173,0.22503931517901687,0.05547325274857151
46,0.031758266647867,0.0002298770693403,0.0003720756606507,2.7742145936163957e-05,2.6932094056527367e-06,1.0020264520940646e-05,0.0018087904029222,0.0003564283114414,0.0021652187143637,3.125206111862965e-06,0.0015769392705197,3.125206111862965e-06,0.024919877108129,positive,Caulobacter sp. URHA0033,Organic acids,0.001580064476631563,0.4886828443016884,-0.10537905614316026
47,0.0094192587861609,5.069616114602525e-05,8.30798522610296e-08,6.000950046646345e-11,4.47150850595727e-10,6.945108956061294e-10,5.4600924725309193e-08,1.075929824237216e-08,6.536022296768135e-08,3.5925571297899536e-10,3.694297926496269e-08,3.5925571297899536e-10,0.0088448494817055,undefined,Cellulomonas sp. URHD0024,Organic acids,3.7302234977941685e-08,-0.2520586839759868,-0.0030186899854657942
48,0.0054879906459873,2.508437190895285e-05,4.423803127408631e-08,1.1148543494416584e-10,2.022020991982628e-10,4.5968133648966373e-10,3.9150916282288735e-08,7.714821440524668e-09,4.686573772281341e-08,2.695630556314259e-10,4.17699743723321e-08,2.695630556314259e-10,0.0053273739111039,undefined,Cellulomonas sp. URHE0023,Organic acids,4.203953742796353e-08,-0.2653851840975345,-0.0058917280860894365
49,0.036300907838531,7.741953377620877e-05,0.0004444564700854,9.209080859057097e-06,9.47899508488676e-07,2.1549316977798886e-06,0.0014719307703851,0.0002900489731698,0.0017619797435549,3.526982112096012e-06,0.0013550264431731,3.526982112096012e-06,0.0506371229324648,positive,Comamonadaceae bacterium URHA0028,Organic acids,0.0013585534252851961,0.42142208201692866,-0.034909148853637974
50,0.0098804272041474,2.4332068625846844e-05,2.1004012958844346e-07,5.52743767052717e-09,5.172560600600844e-10,1.924485536097935e-09,3.019254467821549e-07,5.9495437947864776e-08,3.614208847300197e-07,2.3955543251508283e-09,1.681274367322903e-07,2.3955543251508283e-09,0.0117533068175066,positive,Dongia sp. URHE0060,Organic acids,1.705229910574411e-07,-0.24097602961151995,-0.0006338973966503167
51,0.0393037795597693,0.000282608483421,0.0005373302042651,1.230741054692093e-05,3.8635997816128805e-06,6.0009102991008585e-06,0.0014007677998274,0.0002760260673693,0.0016767938671967,2.522472914637405e-06,0.0011478398166511,2.522472914637405e-06,0.0430288255704489,undefined,Flavobacterium sp. URHB0058,Organic acids,0.0011503622895657373,0.6016162373453475,-0.2078433390926574
52,0.0157730960538642,6.075347797450352e-05,0.0004786076402985,7.928021325652527e-06,1.8434604489828656e-06,2.617301879529339e-06,0.0011752667363595,0.0002315903145312,0.0014068570508907,1.997995957644981e-06,0.0009474776822538,1.997995957644981e-06,0.015912213965046,negative,Geodermatophilaceae bacterium URHA0031,Organic acids,0.000949475678211445,0.290117741810454,-0.12351533771958892
53,0.006455261479136,1.673840664598317e-05,7.509182970021879e-07,2.2786955433836384e-10,1.9471210970704072e-09,3.3557173944123653e-09,2.1577901853125565e-07,4.2519990760302686e-08,2.582990092915584e-07,3.813998503469161e-09,5.7957964082297023e-08,3.813998503469161e-09,0.0068997997396568,negative,Geodermatophilaceae bacterium URHB0048,Organic acids,6.177196258576619e-08,-0.2590536836117107,-0.004776336161853966
54,0.0177870043412619,5.30518993906732e-05,0.0004985186546075,6.6360120950903945e-06,1.486892396335876e-06,2.111054927017825e-06,0.0012204077601492,0.0002404855070644,0.0014608932672136,1.9997217152866023e-06,0.0010135107564975,1.9997217152866023e-06,0.0164708788306599,negative,Geodermatophilaceae bacterium URHB0062,Organic acids,0.0010155104782127867,0.28500700142908975,-0.10744562481597227
55,0.0194313608985405,7.097806644745185e-05,0.000497666978323,3.6852256956216544e-06,1.817857227836824e-06,3.545782557341495e-06,0.0014802327956761,0.0002916849155384,0.0017719177112145,2.4269894227961235e-06,0.0012623347746292,2.4269894227961235e-06,0.016019172770957,undefined,Intrasporangiaceae bacterium URHB0013,Organic acids,0.001264761764051996,0.35612319793078445,-0.12714640346300274
56,0.0212327687736124,4.264148511183986e-05,0.0004458728436912,4.170132857960507e-07,8.954404594497219e-07,2.0356725710506525e-06,0.0014648223233353,0.0002886482294601,0.0017534705527955,3.200975328451155e-06,0.0014062198318603,3.200975328451155e-06,0.0260763957725253,undefined,Lysobacter sp. URHA0019,Organic acids,0.0014094208071887512,0.32526317719944725,-0.06798229840502512
57,0.0055305650540822,1.5114153893749914e-05,2.4664573498321735e-07,3.520066190448748e-10,6.740435306916405e-10,2.507823736981962e-09,1.796378414834333e-07,3.5398248690105645e-08,2.150360901735389e-07,2.266936416318836e-09,7.31220289484159e-08,2.266936416318836e-09,0.0049454710081559,undefined,Marmoricola sp. URHB0036,Organic acids,7.538896536473474e-08,-0.2667085957880836,-0.006253096982700605
58,0.0057062020361465,1.3743660092043112e-05,1.1194554126979692e-06,8.132084529111649e-09,2.696261818782128e-09,7.494334031733007e-09,5.538169438010652e-07,1.091315156293075e-07,6.629484594303726e-07,8.94099221872534e-09,1.8992690279764144e-07,8.94099221872534e-09,0.0061856968291235,positive,Mesorhizobium sp. URHA0056,Organic acids,1.988678950163668e-07,-0.2615209273061975,-0.005429232882117494
59,0.0093993561250018,2.622395091333835e-05,3.221170360557868e-07,5.282321888766013e-09,8.986978713794913e-10,2.49795550076347e-09,3.4370818098832176e-07,6.772886807688844e-08,4.114370490652102e-07,2.6489895565508463e-09,1.630829081361316e-07,2.6489895565508463e-09,0.0105617815469432,positive,Mesorhizobium sp. URHB0007,Organic acids,1.6573189769268246e-07,-0.2454106908113779,-0.0016472836678628196
60,0.0063335502775126,1.6646005060034958e-05,1.855967154751236e-07,2.2846690868025745e-08,4.877902171068086e-10,1.8148559097849525e-09,1.783194995460838e-07,3.513846491976236e-08,2.1345796446584618e-07,1.9685667351274594e-09,2.1759084830793002e-07,1.9685667351274594e-09,0.0068863391572079,positive,Mesorhizobium sp. URHC0008,Organic acids,2.1955941504305747e-07,-0.25937483956468627,-0.00460053223256424
61,0.0152018408044362,4.691172195671434e-05,2.8660371969678885e-06,5.372035548260115e-10,8.844372325128054e-09,1.7251201381964572e-08,3.49012316635816e-06,6.877406607740757e-07,4.177863827132235e-06,3.681725427721555e-08,4.886007219432285e-07,3.681725427721555e-08,0.011501126021377,undefined,Microbacterium sp. URHA0036,Organic acids,5.254179762204441e-07,-0.24010966239254347,-0.0015769216310458907
62,0.0081137388157797,4.850767954057444e-05,4.824079050916187e-07,1.9893242836364623e-08,2.8840573500485994e-09,3.7830753662611705e-09,2.5337921597074494e-07,4.9929237769557473e-08,3.033084537403025e-07,2.260941025833966e-09,1.7578735265122658e-07,2.260941025833966e-09,0.0107565839693975,negative,Micromonosporaceae bacterium URHE0070,Organic acids,1.7804829367706055e-07,-0.24447420225420338,-0.0015905255536377359
63,0.009527233291573,1.6163655626414007e-05,9.955308267183356e-06,4.2472941973785694e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.009984609270179e-06,3.96074315270551e-07,2.4060589245407304e-06,6.035442062864157e-08,3.333015727421435e-07,6.035442062864157e-08,0.0120521764536625,positive,Mycobacterium sp. URHB0044,Organic acids,3.936559933707851e-07,-0.23507669243202478,-0.0023547334778433993
64,0.0097281452099681,1.3464499193484416e-05,6.9176717117498285e-06,1.3490829661291349e-08,9.574588287210644e-09,1.6501085889352805e-08,1.4763807486077646e-06,2.909258565396516e-07,1.767306605147416e-06,4.2448964253515115e-08,2.576000677570543e-07,4.2448964253515115e-08,0.0108538398404526,positive,Mycobacterium sp. URHD0025,Organic acids,3.000490320105694e-07,-0.2412633572005605,-0.002636309109722301
65,0.0077653198538747,2.270348030063949e-05,1.622363912005788e-06,2.01154810625723e-10,4.743308428990557e-09,5.435341588353557e-09,2.8646192334687616e-07,5.6448297970747233e-08,3.429102213176235e-07,8.827257592021884e-09,4.9985263653124376e-08,8.827257592021884e-09,0.0137848972354623,undefined,Nocardioides sp. URHA0020,Organic acids,5.881252124514626e-08,-0.23252140349560688,0.0006264608665456462
66,0.0059682085433472,1.8248716424783676e-05,5.088107436092128e-08,1.3296484109218196e-10,1.5557671798110802e-10,3.536843283615409e-10,3.3151527957400635e-08,6.532621531200494e-09,3.968414948860113e-08,3.5165013346001475e-10,4.125905728701935e-08,3.5165013346001475e-10,0.0068687447947426,undefined,Nocardioides sp. URHA0032,Organic acids,4.161070742047937e-08,-0.2595607718444752,-0.0046231761969529744
67,0.0162789055891128,0.0001627890558911,0.0003698162280848,2.484702408685613e-05,3.69816228084868e-06,2.6203935872343453e-06,0.0007154822351172,0.0001409882120765,0.0008564704471937,1.1647826494918232e-06,0.000273744016864,1.1647826494918232e-06,0.0183854069368934,negative,Paenibacillus sp. URHA0014,Organic acids,0.00027490879951349185,0.28296250419383856,-0.18755703099570867
69,0.0271509594095438,5.042575142522267e-05,0.0002015457654833,0.0003437694888298,3.743181416821501e-07,1.3926755144882731e-06,0.0015051715314987,0.0002965991783984,0.0018017707098972,3.874416970283298e-06,0.0011142874832628,3.874416970283298e-06,0.0368106456992688,positive,Rhodospirillales bacterium URHD0017,Organic acids,0.0011181619002330833,0.43739700497372513,0.6059762961597943
