,monomer,mingt,rrn,genomesize,BGE,rgrowth_x,BP,BR,Formula,ChEBI_ID,Molecular_weight,Ontology,Xlogp3,rgrowth_y,xenzyme,rGco2,rMco2,rXco2,jEX,jDE,jDEco2,jD,jED,jV,jE,dreserve,latency
0,"2,3-Dihydroxybenzoic acid",4.04,7.0,5642219.0,0.4457472023755807,0.0177870043412619,1.652281129400254e-09,1.3226299730785531e-09,C7H6O4,18026,154.1201,Organic acids,1.2,0.0136616903395979,4.264148511183986e-05,6.9176717117498285e-06,4.2472941973785694e-08,1.0706478608729256e-08,1.7251201381964572e-08,2.009984609270179e-06,3.96074315270551e-07,2.4060589245407304e-06,4.2448964253515115e-08,3.333015727421435e-07,4.2448964253515115e-08,0.014169045335992,168.76733174341248
1,2-aminoisobutyric acid ,4.36,6.0,6067264.0,0.5180123936973556,0.0613746358935153,8.199852443095089e-09,5.282543304505031e-09,C4H9NO2,27971,103.1198,Amino acids,-2.81,0.0613746358935153,0.0001726058330846,0.0003757568970064,3.719521839092706e-05,1.098710062661763e-06,2.198296077783887e-06,0.00130892249354,0.0004363074978466,0.0017452299913867,2.6634267872478317e-06,0.0012293546604756,2.6634267872478317e-06,0.0752053548099277,130.6722893937102
2,3-Dehydroshikimic acid,4.04,7.0,5642219.0,0.4457346764881248,0.0178212512486791,1.652174782567817e-09,1.3231539320407094e-09,C7H8O5,30918,172.1354,Organic acids,-1.39,0.0136615833557358,4.15570808201038e-05,6.917184998169153e-06,4.2471824838893836e-08,1.070522870821421e-08,1.7250481142063062e-08,2.00979638740644e-06,3.960372255110296e-07,2.405833612917469e-06,4.2446365314592195e-08,3.332928061644118e-07,4.2446365314592195e-08,0.014168968035339,169.04637386604807
3,5-aminovaleric acid,4.36,6.0,6067264.0,0.5529470123602755,0.0600155948569641,8.213576580223876e-09,4.821474939149419e-09,C5H11NO2,15887,117.14638,Amino acids,-2.63,0.0600155948569641,0.0001736171451174,0.0004313397004829,4.175588413783818e-05,1.25314422010186e-06,2.516267116825976e-06,0.0014931943167519,0.0003732985791879,0.0018664928959399,3.0279500353764284e-06,0.0013952696763364,3.0279500353764284e-06,0.0749476214262595,131.50221626238618
4,D-ribose,4.36,6.0,6067264.0,0.5188223202523652,0.0547360075067086,7.2207401490141195e-09,3.695182493230114e-09,C5H10O5,16988,150.1299,Sugars,-1.27,0.0547360075067086,0.000158736145354,0.0003834036482487,2.744589906887127e-05,1.153777943930135e-06,2.3640571933190976e-06,0.0012938349632551,0.0003522654989015,0.0016461004621566,2.677669545629618e-06,0.0012438714169116,2.677669545629618e-06,0.0618853453278828,141.58809944198703
5,L-aspartic acid,4.36,6.0,6067264.0,0.4436789276522183,0.0605941232294585,8.181267978108946e-09,5.639306941840469e-09,C4H7NO4,17053,133.1027,Amino acids,-3.89,0.0605941232294585,0.0001705989136972,0.0002687244306767,2.794728080671832e-05,8.00262011803092e-07,1.5895675236706314e-06,0.0009593987966385,0.0005318946696389,0.0014912934662775,1.943753782923059e-06,0.0010064568682667,1.943753782923059e-06,0.0724392284443618,128.64090096972444
6,L-carnitine,4.36,6.0,6067264.0,0.592922105288488,0.061418101549797,8.222794109805664e-09,4.206971165662912e-09,C7H15NO3,17126,161.19894,Amino acids,-0.19,0.061418101549797,0.0001784370189463,0.0004970089233221,4.994321445526796e-05,1.4803925033899478e-06,2.90323413148346e-06,0.001719315810488,0.0002865526350813,0.0020058684455693,3.4968085824726005e-06,0.0015614794180383,3.4968085824726005e-06,0.07994694881353,132.3030948368857
7,L-citrulline,4.36,6.0,6067264.0,0.5567576429361458,0.0598389065964445,8.213810143608638e-09,4.511057380774051e-09,C6H13N3O3,16349,175.18584,Amino acids,-3.19,0.0598389065964445,0.0001763414751663,0.0004373572704169,4.207487189867596e-05,1.2787386955722802e-06,2.552153835667848e-06,0.0015116431180754,0.0003651147034629,0.0018767578215384,3.069793123765961e-06,0.0014265488506305,3.069793123765961e-06,0.0750190784899016,131.60886057283128
8,L-glutamate ,4.36,6.0,6067264.0,0.526554787762254,0.0609966761789736,8.204539980293579e-09,5.113231836117503e-09,C5H9NO4,16015,147.1293,Amino acids,-3.69,0.0609966761789736,0.0001731909858513,0.0003890246656597,3.969877338683268e-05,1.126331757365341e-06,2.274330452543564e-06,0.001353077518902,0.0004220970685787,0.0017751745874807,2.755112321873838e-06,0.0012877768054077,2.755112321873838e-06,0.0749574144057634,130.81780881861877
9,L-hydroxyproline,4.36,6.0,6067264.0,0.543161216865266,0.0611058740560277,8.21033342180977e-09,4.8559508439049575e-09,C5H9NO3,18240,131.1299,Amino acids,-3.69,0.0611058740560277,0.0001703727808186,0.0004155486835763,4.097046697653046e-05,1.2085992504763804e-06,2.428854169058403e-06,0.0014397154106071,0.0003919835850762,0.0018316989956834,2.9157810850642885e-06,0.0013341606396698,2.9157810850642885e-06,0.0756423949509364,131.14480424623073
