,BGE,BP,BR,rgrowth,xenzyme,rGco2,rMco2,rXco2,jEX,jDE,jDEco2,jD,jED,jV,jE,dreserve,response,isolate,class,phylum,mingt,rrn,genomesize,kM,alphaenz,gV0,kE,yEV,NSB,KD,yDE,monomer,ontology,eta
40,0.358037858,4.88E-09,7.93E-09,0.043503149,0.000143043,0.000713684,6.27E-06,2.35E-06,1.85E-06,0.001293135,0.000254817,0.001547952,2.13E-06,0.000746468,2.13E-06,0.04498253,negative,Bacillus sp. URHB0009,Bacilli,Firmicutes,1.31,20,5377210,3.11E-05,0.00328811,0.366392402,2.247728614,2.270981174,2.93E-08,0.00431508,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
41,0.255921155,1.62E-10,5.31E-10,0.005186217,1.20E-05,2.71E-07,6.03E-10,6.27E-10,9.73E-10,1.95E-07,3.85E-08,2.34E-07,1.19E-09,7.84E-08,1.19E-09,0.005067047,undefined,Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,2.78,8,5177578,2.23E-05,0.002308658,0.286429607,1.695966091,1.643835616,1.91E-09,0.001378952,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
42,0.6296628,2.29E-09,1.32E-09,0.022735803,3.33E-05,0.000291049,0.000116692,4.26E-07,1.59E-06,0.001550446,0.000305521,0.001855967,3.66E-06,0.001253988,3.66E-06,0.02733035,positive,Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,6.09,3,6972827,0.000238226,0.001464266,0.254229781,1.088478186,1.268776278,8.01E-09,0.002652529,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
43,0.622992981,2.01E-09,1.20E-09,0.020320179,3.87E-05,0.000279295,0.000143618,5.32E-07,1.98E-06,0.001467988,0.000289272,0.001757261,3.36E-06,0.001230799,3.36E-06,0.023492286,positive,Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,5.73,3,7193102,0.000300641,0.001904107,0.255834623,1.132663739,1.268776278,7.15E-09,0.002566528,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
44,0.628954083,2.23E-09,1.29E-09,0.022143031,3.73E-05,0.000300912,9.93E-05,5.07E-07,1.89E-06,0.001566768,0.000308737,0.001875505,3.44E-06,0.00130956,3.44E-06,0.024316488,positive,Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,5.32,3,6793945,0.000196846,0.00168609,0.257942124,1.187556721,1.268776278,7.82E-09,0.002560159,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
45,0.440959319,2.29E-09,2.88E-09,0.023351979,4.17E-05,0.000432263,7.00E-05,7.73E-07,1.01E-06,0.001115969,0.000219905,0.001335874,1.85E-06,0.000641814,1.85E-06,0.023364071,positive,Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,2.43,10,7244804,0.00032562,0.0017874,0.295626127,1.801882877,1.762357889,1.12E-08,0.003432465,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
46,0.639050213,3.38E-09,1.81E-09,0.031758267,0.000229877,0.000372076,2.77E-05,2.69E-06,1.00E-05,0.00180879,0.000356428,0.002165219,3.13E-06,0.001576939,3.13E-06,0.024919877,positive,Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,2.9,3,5642219,5.03E-05,0.007238338,0.283840831,1.662426368,1.268776278,1.15E-08,0.002691843,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
49,0.573303169,4.23E-09,2.53E-09,0.036300908,7.74E-05,0.000444456,9.21E-06,9.48E-07,2.15E-06,0.001471931,0.000290049,0.00176198,3.53E-06,0.001355026,3.53E-06,0.050637123,positive,Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,6.24,5,4904121,1.73E-05,0.002132716,0.253618415,1.071066953,1.439874503,1.61E-08,0.00282477,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
50,0.335423631,1.09E-10,4.02E-10,0.009880427,2.43E-05,2.10E-07,5.53E-09,5.17E-10,1.92E-09,3.02E-07,5.95E-08,3.61E-07,2.40E-09,1.68E-07,2.40E-09,0.011753307,positive,Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,6.09,3,6067264,8.46E-05,0.002462653,0.254229781,1.088478186,1.268776278,1.22E-09,0.001373812,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
51,0.49941304,4.64E-09,3.90E-09,0.03930378,0.000282608,0.00053733,1.23E-05,3.86E-06,6.00E-06,0.001400768,0.000276026,0.001676794,2.52E-06,0.00114784,2.52E-06,0.043028826,undefined,Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,3.33,8,5264264,2.98E-05,0.007190364,0.276235383,1.552321204,1.643835616,2.01E-08,0.003511837,0.164615385,"2,3-Dihydroxybenzoic acid",Organic acids,0.093505142
