monomer,ontology,isolate,response,percent_uptake
2-aminoisobutyric acid ,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.999189863
2-aminoisobutyric acid ,Amino acids,Bacillus sp. URHB0009,negative,0.995375278
2-aminoisobutyric acid ,Amino acids,Blastococcus sp. URHD0036,undefined,0.994541239
2-aminoisobutyric acid ,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.999988508
2-aminoisobutyric acid ,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.999993581
2-aminoisobutyric acid ,Amino acids,Bradyrhizobium sp. URHD0069,positive,0.999999955
2-aminoisobutyric acid ,Amino acids,Burkholderia sp. URHA0054,positive,0.999825807
2-aminoisobutyric acid ,Amino acids,Caulobacter sp. URHA0033,positive,0.987047572
2-aminoisobutyric acid ,Amino acids,Cellulomonas sp. URHD0024,undefined,0.999983205
2-aminoisobutyric acid ,Amino acids,Cellulomonas sp. URHE0023,undefined,1
2-aminoisobutyric acid ,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.999999937
2-aminoisobutyric acid ,Amino acids,Dongia sp. URHE0060,positive,0.999999999
2-aminoisobutyric acid ,Amino acids,Flavobacterium sp. URHB0058,undefined,0.999999693
2-aminoisobutyric acid ,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.997294608
2-aminoisobutyric acid ,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.999935722
2-aminoisobutyric acid ,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.999665492
2-aminoisobutyric acid ,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999999424
2-aminoisobutyric acid ,Amino acids,Lysobacter sp. URHA0019,undefined,0.999999997
2-aminoisobutyric acid ,Amino acids,Marmoricola sp. URHB0036,undefined,0.99981351
2-aminoisobutyric acid ,Amino acids,Mesorhizobium sp. URHA0056,positive,0.999999962
2-aminoisobutyric acid ,Amino acids,Mesorhizobium sp. URHB0007,positive,0.999999933
2-aminoisobutyric acid ,Amino acids,Mesorhizobium sp. URHC0008,positive,0.999953364
2-aminoisobutyric acid ,Amino acids,Microbacterium sp. URHA0036,undefined,0.999999999
2-aminoisobutyric acid ,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.999546681
2-aminoisobutyric acid ,Amino acids,Mycobacterium sp. URHB0044,positive,0.9804195
2-aminoisobutyric acid ,Amino acids,Mycobacterium sp. URHD0025,positive,0.981372787
2-aminoisobutyric acid ,Amino acids,Nocardioides sp. URHA0020,undefined,0.999843908
2-aminoisobutyric acid ,Amino acids,Nocardioides sp. URHA0032,undefined,0.999995616
2-aminoisobutyric acid ,Amino acids,Paenibacillus sp. URHA0014,negative,0.999999345
2-aminoisobutyric acid ,Amino acids,Pseudomonas sp. URHB0015,positive,0.99112735
2-aminoisobutyric acid ,Amino acids,Rhodospirillales bacterium URHD0017,positive,0.999999994
2-aminoisobutyric acid ,Amino acids,Rhodospirillales bacterium URHD0088,undefined,1
2-aminoisobutyric acid ,Amino acids,Solirubrobacter sp. URHD0082,negative,0.999999477
2-aminoisobutyric acid ,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.999956845
2-aminoisobutyric acid ,Amino acids,Sphingomonas sp. URHD0007,positive,0.999998635
2-aminoisobutyric acid ,Amino acids,Sphingomonas sp. URHD0057,positive,0.999999975
2-aminoisobutyric acid ,Amino acids,Staphylococcus sp. URHA0057,undefined,0.999997155
2-aminoisobutyric acid ,Amino acids,Streptomyces sp. URHA0041,positive,0.998456049
2-aminoisobutyric acid ,Amino acids,Variovorax sp. URHB0020,positive,0.999999591
"2,3-Dihydroxybenzoic acid",Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.49797143
"2,3-Dihydroxybenzoic acid",Organic acids,Bacillus sp. URHB0009,negative,0.997470763
"2,3-Dihydroxybenzoic acid",Organic acids,Blastococcus sp. URHD0036,undefined,0.67440757
"2,3-Dihydroxybenzoic acid",Organic acids,Bradyrhizobium sp. URHA0002,positive,0.999977131
"2,3-Dihydroxybenzoic acid",Organic acids,Bradyrhizobium sp. URHA0013,positive,0.99998506
"2,3-Dihydroxybenzoic acid",Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999999734
"2,3-Dihydroxybenzoic acid",Organic acids,Burkholderia sp. URHA0054,positive,0.999853694
"2,3-Dihydroxybenzoic acid",Organic acids,Caulobacter sp. URHA0033,positive,0.986544454
"2,3-Dihydroxybenzoic acid",Organic acids,Cellulomonas sp. URHD0024,undefined,0.699320004
"2,3-Dihydroxybenzoic acid",Organic acids,Cellulomonas sp. URHE0023,undefined,0.970017178
"2,3-Dihydroxybenzoic acid",Organic acids,Comamonadaceae bacterium URHA0028,positive,0.99999995
"2,3-Dihydroxybenzoic acid",Organic acids,Dongia sp. URHE0060,positive,0.992874315
"2,3-Dihydroxybenzoic acid",Organic acids,Flavobacterium sp. URHB0058,undefined,0.999999892
"2,3-Dihydroxybenzoic acid",Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.972993653
"2,3-Dihydroxybenzoic acid",Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.928693898
"2,3-Dihydroxybenzoic acid",Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.994097284
"2,3-Dihydroxybenzoic acid",Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999908867
"2,3-Dihydroxybenzoic acid",Organic acids,Lysobacter sp. URHA0019,undefined,0.999985146
"2,3-Dihydroxybenzoic acid",Organic acids,Marmoricola sp. URHB0036,undefined,0.846501807
"2,3-Dihydroxybenzoic acid",Organic acids,Mesorhizobium sp. URHA0056,positive,0.999989829
"2,3-Dihydroxybenzoic acid",Organic acids,Mesorhizobium sp. URHB0007,positive,0.998746685
"2,3-Dihydroxybenzoic acid",Organic acids,Mesorhizobium sp. URHC0008,positive,0.752872798
"2,3-Dihydroxybenzoic acid",Organic acids,Microbacterium sp. URHA0036,undefined,0.999964794
"2,3-Dihydroxybenzoic acid",Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.796415002
"2,3-Dihydroxybenzoic acid",Organic acids,Mycobacterium sp. URHB0044,positive,0.921148281
"2,3-Dihydroxybenzoic acid",Organic acids,Mycobacterium sp. URHD0025,positive,0.89075624
"2,3-Dihydroxybenzoic acid",Organic acids,Nocardioides sp. URHA0020,undefined,0.974500405
"2,3-Dihydroxybenzoic acid",Organic acids,Nocardioides sp. URHA0032,undefined,0.547887199
"2,3-Dihydroxybenzoic acid",Organic acids,Paenibacillus sp. URHA0014,negative,0.999999063
"2,3-Dihydroxybenzoic acid",Organic acids,Pseudomonas sp. URHB0015,positive,0.997620338
"2,3-Dihydroxybenzoic acid",Organic acids,Rhodospirillales bacterium URHD0017,positive,0.999999999
