isolate,response,sample,relabundance,measurement
Bradyrhizobium sp. URHA0002,positive,week3,0.14208714879634823,0.09814241483667702
Bradyrhizobium sp. URHA0013,positive,week3,0.04490337043106694,0.09876160990833122
Paenibacillus sp. URHA0014,negative,week3,0.0010398671087562589,0.0012383900695375053
Lysobacter sp. URHA0019,undefined,week3,0.0007181544723722788,0.0
Nocardioides sp. URHA0020,undefined,week3,0.0020639176830852244,0.0012383900695375053
Comamonadaceae bacterium URHA0028,positive,week3,0.01646039878806633,0.04551083588542592
Geodermatophilaceae bacterium URHA0031,negative,week3,0.019424158388932827,0.026934984547279748
Nocardioides sp. URHA0032,undefined,week3,0.001945022356505184,0.001857585141191707
Caulobacter sp. URHA0033,positive,week3,0.0015006683410533938,0.016408668771783708
Microbacterium sp. URHA0036,undefined,week3,0.0015968098577209186,0.001857585141191707
Streptomyces sp. URHA0041,positive,week3,0.01303729214287433,0.013003095988341947
Burkholderia sp. URHA0054,positive,week3,0.013181330192904609,0.011455108346091893
Mesorhizobium sp. URHA0056,positive,week3,0.002764967188803012,0.01083591334820859
Staphylococcus sp. URHA0057,undefined,week3,5.93689306859175e-7,0.0
Mesorhizobium sp. URHB0007,positive,week3,0.004143402243259271,0.013622290986225251
Bacillus sp. URHB0009,negative,week3,0.0909850962084081,0.12631578945349425
Intrasporangiaceae bacterium URHB0013,undefined,week3,0.002538357953755962,0.004024767855095963
Pseudomonas sp. URHB0015,positive,week3,0.0007078026880735024,0.006811145493112626
Variovorax sp. URHB0020,positive,week3,0.033559181430621865,0.056037151660921956
Marmoricola sp. URHB0036,undefined,week3,0.0027469698390568086,0.0024767802128459085
Mycobacterium sp. URHB0044,positive,week3,0.010933934988189255,0.010216718276554387
Geodermatophilaceae bacterium URHB0048,negative,week3,0.09736764263201493,0.08111455106701
Flavobacterium sp. URHB0058,undefined,week3,0.0004464820815158088,0.0
Geodermatophilaceae bacterium URHB0062,negative,week3,0.048009395477053296,0.055417956663038656
Mesorhizobium sp. URHC0008,positive,week3,0.001588931060980059,0.004643962852979267
Sphingomonas sp. URHD0007,positive,week3,0.12027678666534351,0.06934984514820555
Rhodospirillales bacterium URHD0017,positive,week3,0.0020364468066653074,0.0027863777117875604
Cellulomonas sp. URHD0024,undefined,week3,0.0006908351122699195,0.0
Mycobacterium sp. URHD0025,positive,week3,0.003508541738069633,0.01052631577549604
Blastococcus sp. URHD0036,undefined,week3,0.00038095612926021603,0.0009287925705958535
Sphingomonas sp. URHD0057,positive,week3,0.070175661993435,0.041486068104100854
Solirubrobacterales bacterium URHD0059,negative,week3,0.02251544463601744,0.01919504648357127
Bradyrhizobium sp. URHD0069,positive,week3,0.14355160349174173,0.09876160990833122
Solirubrobacter sp. URHD0082,negative,week3,0.07287489546996036,0.057585139303172016
Rhodospirillales bacterium URHD0088,undefined,week3,0.0028493655726641483,0.0024767802128459085
Cellulomonas sp. URHE0023,undefined,week3,0.0020641794597751743,0.0012383900695375053
Dongia sp. URHE0060,positive,week3,0.0008052189532260684,0.004334365354037615
Acidobacteriaceae bacterium URHE0068,positive,week3,0.00021059617982717327,0.00030959757271254964
Micromonosporaceae bacterium URHE0070,negative,week3,0.004308571751018916,0.003095975210729212
Bradyrhizobium sp. URHA0002,positive,week6,0.06778505984063063,0.08982376343317994
Bradyrhizobium sp. URHA0013,positive,week6,0.18147131064925948,0.09238203524876282
Paenibacillus sp. URHA0014,negative,week6,0.0011156852495992102,0.0017055144985674777
Lysobacter sp. URHA0019,undefined,week6,0.0003616530721593272,0.0
Nocardioides sp. URHA0020,undefined,week6,0.0011432812536881437,0.0011370096431344298
Comamonadaceae bacterium URHA0028,positive,week6,0.008665305650852722,0.04519613414430649
Geodermatophilaceae bacterium URHA0031,negative,week6,0.01924546526632473,0.025298465016929804
Nocardioides sp. URHA0032,undefined,week6,0.003822571655457637,0.0017055144985674777
Caulobacter sp. URHA0033,positive,week6,0.0025270665214998144,0.04206935760875389
Microbacterium sp. URHA0036,undefined,week6,0.0019231217224953785,0.0019897669601498342
Streptomyces sp. URHA0041,positive,week6,0.006989965242809019,0.011938601489972342
Burkholderia sp. URHA0054,positive,week6,0.008391687950636204,0.01392836838239051
Mesorhizobium sp. URHA0056,positive,week6,0.003667907245082729,0.02131893123209347
Staphylococcus sp. URHA0057,undefined,week6,8.750862676673564e-7,0.0
Mesorhizobium sp. URHB0007,positive,week6,0.0046537010334978075,0.030983513368065287
Bacillus sp. URHB0009,negative,week6,0.17717792800674909,0.08186469586350725
Intrasporangiaceae bacterium URHB0013,undefined,week6,0.004552106897611086,0.003979533852568003
Pseudomonas sp. URHB0015,positive,week6,0.0005056521460837233,0.0005685048554330477
Variovorax sp. URHB0020,positive,week6,0.04151310756851758,0.06083001702526447
Marmoricola sp. URHB0036,undefined,week6,0.0019239410614582913,0.0017055144985674777
Mycobacterium sp. URHB0044,positive,week6,0.007603679477922353,0.007390562849702958
Geodermatophilaceae bacterium URHB0048,negative,week6,0.05784202039752953,0.06281978398541431
Flavobacterium sp. URHB0058,undefined,week6,0.001183129090405512,0.0
Geodermatophilaceae bacterium URHB0062,negative,week6,0.030042470954757105,0.04263786239645528
Mesorhizobium sp. URHC0008,positive,week6,0.0012771878910326736,0.008811824886688078
Sphingomonas sp. URHD0007,positive,week6,0.10428900662400566,0.1111426946652734
Rhodospirillales bacterium URHD0017,positive,week6,0.0015872205003080746,0.0022740193540005255
Cellulomonas sp. URHD0024,undefined,week6,0.0005834109361298524,0.0
Mycobacterium sp. URHD0025,positive,week6,0.0023669829339368906,0.007390562849702958
Blastococcus sp. URHD0036,undefined,week6,0.0019889445103140413,0.0008527572492837388
Sphingomonas sp. URHD0057,positive,week6,0.029951869608740748,0.06537805566553385
Solirubrobacterales bacterium URHD0059,negative,week6,0.009897946805739168,0.016486640130241727
Bradyrhizobium sp. URHD0069,positive,week6,0.0953492672032446,0.09238203524876282
Solirubrobacter sp. URHD0082,negative,week6,0.05400107003445914,0.04093234789788779
Rhodospirillales bacterium URHD0088,undefined,week6,0.003062057697944386,0.0022740193540005255
Cellulomonas sp. URHE0023,undefined,week6,0.0016181225328809393,0.0008527572492837388
Dongia sp. URHE0060,positive,week6,0.05767922153620593,0.007674815243553649
Acidobacteriaceae bacterium URHE0068,positive,week6,0.00013299962465898043,0.0005685048554330477
Micromonosporaceae bacterium URHE0070,negative,week6,0.002105998519104158,0.0017055144985674777
Bradyrhizobium sp. URHA0002,positive,week9,2.55501385838464e-5,0.0907542578774968
Bradyrhizobium sp. URHA0013,positive,week9,0.008336802677027414,0.09245742087717804
Paenibacillus sp. URHA0014,negative,week9,2.3334199784415763e-6,0.00048661802475564314
Lysobacter sp. URHA0019,undefined,week9,1.5928542864504254e-7,0.0
Nocardioides sp. URHA0020,undefined,week9,6.163050958699452e-7,0.0007299270081456302
Comamonadaceae bacterium URHA0028,positive,week9,4.134444663689963e-6,0.035523114357770225
Geodermatophilaceae bacterium URHA0031,negative,week9,3.8298733426657966e-5,0.017518248195495127
Nocardioides sp. URHA0032,undefined,week9,2.8629408694596567e-5,0.0019464720410469036
Caulobacter sp. URHA0033,positive,week9,1.2173509806073259e-5,0.03819951340696276
Microbacterium sp. URHA0036,undefined,week9,4.388541692021445e-6,0.0014598540162912605
Streptomyces sp. URHA0041,positive,week9,3.232744983914433e-6,0.014598540162912604
Burkholderia sp. URHA0054,positive,week9,5.456172656854742e-6,0.02092457419485762
Mesorhizobium sp. URHA0056,positive,week9,1.0897026807304241e-5,0.03187347931704207
Staphylococcus sp. URHA0057,undefined,week9,3.427982408803711e-9,0.0
Mesorhizobium sp. URHB0007,positive,week9,9.706424457943707e-6,0.04841849146302591
Bacillus sp. URHB0009,negative,week9,0.0012489039474088011,0.06885644769110355
Intrasporangiaceae bacterium URHB0013,undefined,week9,2.5654001836684232e-5,0.003892944024118138
Pseudomonas sp. URHB0015,positive,week9,4.091722600625251e-7,0.00048661802475564314
Variovorax sp. URHB0020,positive,week9,0.00010476008716578602,0.051581508478998415
Marmoricola sp. URHB0036,undefined,week9,1.559652077486623e-6,0.0014598540162912605
Mycobacterium sp. URHB0044,positive,week9,5.999854616423155e-6,0.009975669130648835
Geodermatophilaceae bacterium URHB0048,negative,week9,3.5230168840049404e-5,0.05328467153665533
Flavobacterium sp. URHB0058,undefined,week9,1.4905328748511571e-5,0.0
Geodermatophilaceae bacterium URHB0062,negative,week9,2.075973013908021e-5,0.03430656932486895
Mesorhizobium sp. URHC0008,positive,week9,1.5317800234648095e-6,0.009245742122503205
Sphingomonas sp. URHD0007,positive,week9,0.00014303002405955114,0.13041362530075082
Rhodospirillales bacterium URHD0017,positive,week9,1.4921593340732946e-6,0.0009732359915356172
Cellulomonas sp. URHD0024,undefined,week9,6.657762359924482e-7,0.0
Mycobacterium sp. URHD0025,positive,week9,2.4758669614666662e-6,0.009489051105893192
Blastococcus sp. URHD0036,undefined,week9,0.00025310007579729924,0.0009732359915356172
Sphingomonas sp. URHD0057,positive,week9,1.0636357754131693e-5,0.06642335768327667
Solirubrobacterales bacterium URHD0059,negative,week9,3.128361437219151e-6,0.017761557178885112
Bradyrhizobium sp. URHD0069,positive,week9,6.892915598103254e-5,0.09245742087717804
Solirubrobacter sp. URHD0082,negative,week9,4.967894256448668e-5,0.03357664231672332
Rhodospirillales bacterium URHD0088,undefined,week9,5.355611137038459e-6,0.0014598540162912605
Cellulomonas sp. URHE0023,undefined,week9,1.5413084463115132e-6,0.00048661802475564314
Dongia sp. URHE0060,positive,week9,0.9895169618826123,0.016058394179203864
Acidobacteriaceae bacterium URHE0068,positive,week9,9.840564850132325e-8,0.00048661802475564314
Micromonosporaceae bacterium URHE0070,negative,week9,8.100876287258426e-7,0.0014598540162912605
Bradyrhizobium sp. URHA0002,positive,week12,2.6281207701740455e-5,0.11606677098838937
Bradyrhizobium sp. URHA0013,positive,week12,0.007606637639254267,0.1165884194186941
Paenibacillus sp. URHA0014,negative,week12,2.6830274308599254e-6,0.0005216484303047304
Lysobacter sp. URHA0019,undefined,week12,1.6448230840163418e-7,0.0
Nocardioides sp. URHA0020,undefined,week12,6.287112353430746e-7,0.0
Comamonadaceae bacterium URHA0028,positive,week12,4.268808101792477e-6,0.03573291601536804
Geodermatophilaceae bacterium URHA0031,negative,week12,3.5950386036323004e-5,0.013041210198275538
Nocardioides sp. URHA0032,undefined,week12,3.507610318132437e-5,0.0018257694749919608
Caulobacter sp. URHA0033,positive,week12,1.4512012617545371e-5,0.03468961921690776
Microbacterium sp. URHA0036,undefined,week12,5.218585528979855e-6,0.0013041210446872301
Streptomyces sp. URHA0041,positive,week12,3.588068565685484e-6,0.015388628103572227
Burkholderia sp. URHA0054,positive,week12,5.940363289113479e-6,0.026082420458700267
Mesorhizobium sp. URHA0056,positive,week12,1.2368327131527702e-5,0.0477308294151833
Staphylococcus sp. URHA0057,undefined,week12,3.940710254203478e-9,0.0
Mesorhizobium sp. URHB0007,positive,week12,1.165757477051433e-5,0.06051121542938107
Bacillus sp. URHB0009,negative,week12,0.0014130426206781905,0.05659885235746857
Intrasporangiaceae bacterium URHB0013,undefined,week12,2.953821113609586e-5,0.002608242027225269
Pseudomonas sp. URHB0015,positive,week12,4.907962299087736e-7,0.0
Variovorax sp. URHB0020,positive,week12,0.00013156334549218314,0.0477308294151833
Marmoricola sp. URHB0036,undefined,week12,1.662898065358586e-6,0.0010432967984602695
Mycobacterium sp. URHB0044,positive,week12,6.508989572839173e-6,0.010432968171050268
Geodermatophilaceae bacterium URHB0048,negative,week12,3.550383714147863e-5,0.04147104850012331
Flavobacterium sp. URHB0058,undefined,week12,1.7159488302494552e-5,0.0
Geodermatophilaceae bacterium URHB0062,negative,week12,2.091614579107331e-5,0.025039123598090806
Mesorhizobium sp. URHC0008,positive,week12,1.6212506516206054e-6,0.011997913399815268
Sphingomonas sp. URHD0007,positive,week12,0.0001600825510440492,0.08372456961462911
Rhodospirillales bacterium URHD0017,positive,week12,1.7745953664921302e-6,0.0023474178431475
Cellulomonas sp. URHD0024,undefined,week12,8.003890145923367e-7,0.0
Mycobacterium sp. URHD0025,positive,week12,1.8979433095123473e-6,0.010172143986972498
Blastococcus sp. URHD0036,undefined,week12,0.00018409538407225144,0.0005216484303047304
Sphingomonas sp. URHD0057,positive,week12,9.458219696230158e-6,0.04590506000234053
Solirubrobacterales bacterium URHD0059,negative,week12,3.208264160988226e-6,0.013041210198275538
Bradyrhizobium sp. URHD0069,positive,week12,7.55158481197298e-5,0.1165884194186941
Solirubrobacter sp. URHD0082,negative,week12,5.441221317370353e-5,0.023213354185248034
Rhodospirillales bacterium URHD0088,undefined,week12,7.223675747860331e-6,0.0015649452287649999
Cellulomonas sp. URHE0023,undefined,week12,1.9670847817533553e-6,0.0005216484303047304
Dongia sp. URHE0060,positive,week12,0.9900756279336975,0.03338549817222053
Acidobacteriaceae bacterium URHE0068,positive,week12,9.427870987770695e-8,0.0015649452287649999
Micromonosporaceae bacterium URHE0070,negative,week12,8.547981805504371e-7,0.0010432967984602695
