isolate,response,sample,relabundance,measurement,rgrowth,BR,BP,CUE,biomass
Bradyrhizobium sp. URHA0002,positive,week3,0.00013018048040327576,0.09814241483667702,-0.00013526165989686823,1.9936829960887867e-9,-2.3487351958017263e-9,-122.05157209782045,1.4619671124235112e-5
Bradyrhizobium sp. URHA0013,positive,week3,0.00601773843296989,0.09876160990833122,-0.00013434308957315546,1.1471213016593116e-8,-3.2909237468759805e-8,-2.169654550932756,0.0006758106632357762
Paenibacillus sp. URHA0014,negative,week3,1.9016755049822035e-5,0.0012383900695375053,-0.00013430300416615633,3.3095034767234604e-11,-8.614006657716606e-11,-2.7363931049277173,2.135640487861801e-6
Lysobacter sp. URHA0019,undefined,week3,7.396320301359222e-7,0.0,-0.00013490263138745957,1.5641684900548376e-11,-1.7634839027738455e-11,-107.77050042514638,8.306296765874773e-8
Nocardioides sp. URHA0020,undefined,week3,2.124577130334778e-6,0.0012383900695375053,-0.00013498133990160044,5.666563338304922e-11,-6.244191597163078e-11,-140.36933944379138,2.3859659164988047e-7
Comamonadaceae bacterium URHA0028,positive,week3,2.1289406841924657e-5,0.04551083588542592,-0.00013501524058510156,3.7225974787376397e-10,-4.30585742001887e-10,-90.19679665719016,2.390866322622262e-6
Geodermatophilaceae bacterium URHA0031,negative,week3,7.112795967783751e-5,0.026934984547279748,-0.00013511033199976904,1.485251243950994e-9,-1.7057748850723634e-9,-79.53239278200525,7.987890158390244e-6
Nocardioides sp. URHA0032,undefined,week3,0.00010178023913903827,0.001857585141191707,-0.00013442264262165598,4.657330342704407e-10,-7.512120649752366e-10,-9.872180778008204,1.1430236073405208e-5
Caulobacter sp. URHA0033,positive,week3,7.972770142233225e-5,0.016408668771783708,-0.0001343767807657142,4.468169616006611e-11,-2.719096768501649e-10,-0.16844588527328042,8.95366779009351e-6
Microbacterium sp. URHA0036,undefined,week3,3.158147804403864e-5,0.001857585141191707,-0.00013475837246229916,2.2436742671920917e-11,-1.1033021456880876e-10,-1.2354096395347454,3.5466977936384907e-6
Streptomyces sp. URHA0041,positive,week3,3.246411529030521e-5,0.013003095988341947,-0.0001345390647805612,4.7345657561558594e-11,-1.3250673824299083e-10,-4.630165965978871,3.645820689962455e-6
Burkholderia sp. URHA0054,positive,week3,3.192222433892256e-5,0.011455108346091893,-0.00013509363884740253,2.408483748264092e-10,-3.2773822450011025e-10,-44.09905411121155,3.584964657860933e-6
Mesorhizobium sp. URHA0056,positive,week3,4.556751375805148e-5,0.01083591334820859,-0.00013456582915013154,1.0091036545852639e-10,-2.2723829698260649e-10,-5.034475461689884,5.117372919719293e-6
Staphylococcus sp. URHA0057,undefined,week3,1.7058936286561447e-8,0.0,-0.0001342807911853085,3.129194046881879e-14,-7.891782895086746e-14,-2.8286807988392035,1.9157713772927e-9
Mesorhizobium sp. URHB0007,positive,week3,7.53647969339811e-5,0.013622290986225251,-0.00013433881769991054,7.21678515625257e-11,-2.7468386017942065e-10,-1.3394033016670543,8.46370010393541e-6
Bacillus sp. URHB0009,negative,week3,0.004809233332287842,0.12631578945349425,-0.0001344589329206406,7.436292054154355e-9,-2.1675816054819707e-8,-2.282356399386964,0.0005400917976331908
Intrasporangiaceae bacterium URHB0013,undefined,week3,0.00015265331204605503,0.004024767855095963,-0.00013456691754572294,1.303763978044329e-10,-5.857422958943113e-10,-0.9200653409046746,1.7143439717114494e-5
Pseudomonas sp. URHB0015,positive,week3,5.073829700307973e-6,0.006811145493112626,-0.00013399797254550058,1.1366793783022355e-12,-1.4000440305396403e-11,0.44032430757211394,5.698067892289974e-7
Variovorax sp. URHB0020,positive,week3,0.0008507793659497747,0.056037151660921956,-0.00013440331628868291,1.0904518119587855e-9,-3.372665872531255e-9,-2.405738150682829,9.554515769906466e-5
Marmoricola sp. URHB0036,undefined,week3,7.831147879636715e-6,0.0024767802128459085,-0.00013514299216020226,7.394557796865475e-11,-9.58080423498612e-11,-50.22045895283885,8.794621603090888e-7
Mycobacterium sp. URHB0044,positive,week3,3.378786547156435e-5,0.010216718276554387,-0.00013507029167131725,2.4011639500389764e-10,-3.3336925155114126e-10,-35.95046457855803,3.7944819350331737e-6
Geodermatophilaceae bacterium URHB0048,negative,week3,0.0001122669030240372,0.08111455106701,-0.00013529134126129912,2.7413126469849944e-9,-3.055677129793172e-9,-168.08304203961808,1.2607920905371923e-5
Flavobacterium sp. URHB0058,undefined,week3,8.044796868241615e-5,0.0,-0.00013458605223233864,3.8678323177634824e-11,-2.9387342837491587e-10,0.0033151982131843782,9.03455603410183e-6
