weeks,weekC,rateC,years,totalC,starthr,deadhr
week3,0.10570775697474698,4.916374296544797e-5,2018,1.5044819961833538,105466,4384
week3,0.18901875053439018,0.0003694569492283444,2018,1.5044819961833538,105466,4384
week3,0.18848539592532537,0.0003694569492283444,2018,1.5044819961833538,105466,4384
week3,0.03851379579142614,0.0007316102044617619,2018,1.5044819961833538,105466,4384
week6,0.14093089768464445,8.213883492122912e-5,2013,1.2981552437014052,62328,3740
week6,0.013894498190982513,1.703549199120233e-5,2013,1.2981552437014052,62328,3740
week6,0.010172683705370777,1.703549199120233e-5,2013,1.2981552437014052,62328,3740
week6,0.029032104749940835,0.00018334465395348812,2013,1.2981552437014052,62328,3740
week9,0.8636653468126205,0.002050881015865546,2012,1.3307881978630405,53568,4578
week9,0.8146867842173875,0.0017988200134803184,2012,1.3307881978630405,53568,4578
week9,0.8479700935454223,0.001816711086789383,2012,1.3307881978630405,53568,4578
week9,0.4615600258479141,0.008875228555810221,2012,1.3307881978630405,53568,4578
week12,0.36593478062679385,0.000854372172126386,2006,0.6982722169051123,805,4214
week12,0.2435311252247676,7.602330458279059e-5,2006,0.6982722169051123,805,4214
week12,0.24624250496782052,5.127230786553166e-5,2006,0.6982722169051123,805,4214
week12,0.1513474189813966,0.0015766243420863462,2006,0.6982722169051123,805,4214
