Column1,cellulose breakdown,chitin breakdown,heteromannan breakdown,xylan and heteroxylan breakdown,xyloglucan breakdown,mixed linkage glucan breakdown,monosaccharide transport,amino sugar transport,amide transport,monocarboxylate transport,protein degradation,free amino acids transport,general,peptide transport,guild_id,mingentime,bin length,afe.median,rel.abund,class,id,totalcazy,color,spherical_equivalent_diameter,r_median,relabund_median,bge_median,J_DE_median
0,0.71718262,0.573746096,0.286873048,1.721238288,0.860619144,0.573746096,1.147492192,0.0,0.143436524,0.286873048,0.559402443,1.147492192,1.147492192,0.143436524,1,0.718078092,6.971725,0.308244244,0.011116654,Betaproteobacteria,H1-16-all-fractions_conc_50,0.788900882,#ff7f0e,0.898997439,0.07400502374569165,0.19371118416987967,0.5528974220921237,0.013345632035350295
1,0.501446674,0.376085005,0.125361668,1.504340021,0.75217001,0.250723337,0.376085005,0.125361668,0.0,0.250723337,0.401157339,0.376085005,1.378978353,0.125361668,1,18.04626651,7.97692,0.027762321,0.006016852,Unknown,H1-16-all-fractions_conc_93,0.585021119,#c7c7c7,,0.018071924368818906,5.016086018412708e-5,0.9837687374947314,5.504645028855669e-7
2,0.727821902,1.091732853,0.363910951,1.455643804,0.0,0.363910951,0.363910951,0.0,0.0,0.727821902,0.727821902,3.275198559,3.275198559,0.727821902,3,1.107008992,2.747925,0.024517239,1.65e-6,Actinobacteria,H1-16-all-fractions_metab_31,0.667170077,#5254a3,0.827954149,0.09546453650056178,9.244840460051957e-6,0.05756939066449461,3.6797771134923385e-7
3,0.800336141,0.800336141,0.800336141,1.200504212,0.0,0.800336141,0.400168071,0.0,0.0,0.0,0.760319334,0.400168071,2.801176494,0.0,3,20.62410907,2.49895,0.141165767,0.02106831,Actinobacteria,H1-16-all-fractions_metab_48,0.733641463,#5254a3,0.827954149,0.07315321206847958,3.6021375443738266e-6,0.9511065325667305,2.0661683904653328e-8
4,0.785647169,1.571294338,0.392823584,1.964117922,0.0,0.392823584,0.0,0.0,0.0,0.0,0.864211886,1.178470753,3.53541226,0.392823584,3,5.271567626,2.545672,0.153277445,0.011307106,Alphaproteobacteria,H1-16-all-fractions_metab_74,0.851117766,#e7ba52,0.960118077,0.0510377581182591,5.5248412076802396e-6,0.999891468304757,NaN
5,0.940408212,0.626938808,0.626938808,1.880816425,0.626938808,0.626938808,0.626938808,0.0,0.0,0.0,0.72097963,0.626938808,1.880816425,0.0,2,8.589060951,3.190104,0.12047959,0.027489763,Actinobacteria,H1-16-all-fractions_metab_conc_1,0.888163312,#5254a3,0.827954149,0.09662672541475831,5.158586821877742e-6,NaN,1.0014361063356266e-7
6,0.993466961,0.496733481,0.496733481,1.738567182,0.745100221,0.745100221,0.745100221,0.0,0.0,0.496733481,0.521570155,0.745100221,2.483667403,0.0,2,6.739460248,4.026304,0.161253495,0.035504312,Actinobacteria,H1-16-all-fractions_metab_conc_12,0.869283591,#5254a3,0.827954149,0.06107279445475104,7.541784751282834e-6,NaN,1.6787559887869288e-7
7,0.398022624,0.398022624,0.199011312,0.796045247,0.199011312,0.398022624,0.995056559,0.0,0.199011312,0.199011312,0.577132804,1.791101806,2.18912443,0.0,1,6.526734184,5.02484,0.219127983,0.014548876,Alphaproteobacteria,H1-16-all-fractions_metab_conc_2,0.398022624,#e7ba52,0.960118077,0.045333018823474805,8.53485057689283e-6,NaN,1.7305344123663106e-7
8,0.639757404,0.639757404,0.319878702,1.59939351,0.319878702,0.319878702,0.319878702,0.0,0.0,0.0,0.927648236,0.639757404,1.919272212,0.319878702,3,9.463625905,3.126185,0.088633478,0.01112081,Unknown,H1-16-all-fractions_metab_conc_20,0.639757404,#c7c7c7,,0.05461588749383379,7.227623256405736e-6,NaN,8.566329047111592e-8
9,0.756478863,0.756478863,0.378239432,1.891197158,0.0,0.378239432,0.0,0.0,0.0,0.378239432,0.756478863,1.134718295,2.647676021,0.0,2,11.07760901,2.643828,0.021942682,0.011881398,Actinobacteria,H1-16-all-fractions_metab_conc_21,0.693438958,#5254a3,0.827954149,0.09075293282098089,3.785336198543424e-6,0.9999785104212104,NaN
10,0.63028772,0.94543158,0.63028772,2.20600702,0.31514386,0.63028772,0.63028772,0.0,0.0,0.63028772,0.598773334,0.63028772,3.1514386,0.0,2,7.461894179,3.173154,0.167591279,0.018787441,Actinobacteria,H1-16-all-fractions_metab_conc_28,0.892907603,#5254a3,0.827954149,0.044540406742891815,5.996482103326022e-6,NaN,1.2952410100124e-7
11,0.992348661,0.992348661,0.330782887,1.984697322,0.330782887,0.661565774,0.0,0.0,0.0,0.330782887,0.893113795,0.992348661,2.315480209,0.0,2,13.35399351,3.023131,0.086802772,0.012559952,Actinobacteria,H1-16-all-fractions_metab_conc_37,0.882087699,#5254a3,0.827954149,0.08264227855698371,3.2658174463768256e-6,0.9985617426682061,NaN
12,0.199946694,0.599840083,0.0,0.599840083,0.0,0.0,0.599840083,0.0,0.0,0.399893388,0.559850744,1.199680165,1.799520248,0.199946694,1,8.151370035,5.001333,0.016610498,0.011241501,Actinobacteria,H1-16-all-fractions_metab_conc_39,0.233271143,#5254a3,0.827954149,0.08610277847252944,1.4903239266001823e-5,NaN,2.3877231892004857e-7
13,0.616791564,0.616791564,0.154197891,1.696176802,0.770989455,0.308395782,0.616791564,0.154197891,0.0,0.308395782,0.462593673,0.616791564,1.541978911,0.154197891,1,17.86148423,6.485173,0.021865965,0.009178268,Ktedonobacteria,H1-16-all-fractions_metab_conc_42,0.69389051,#7f7f7f,1.081859716,0.06503854752908218,4.26274222649865e-6,NaN,4.0530563667094645e-8
14,0.756984698,0.504656465,0.504656465,1.766297628,1.00931293,0.756984698,1.00931293,0.252328233,0.0,0.504656465,0.555122112,1.513969396,1.261641163,0.0,1,3.73066915,3.963092,0.062885979,0.00815954,Actinobacteria,H1-16-all-fractions_metab_conc_51,0.883148814,#5254a3,0.827954149,0.05173388391342474,0.35384309493892013,0.4216591373093337,0.016345010505901852
