me,code,taxonomy,description,bin.length,GC,prop.gc,coverage,num.contigs,num.features,longest.contig,RP.Inventory.max.55,RP.multiple,BSCG.Inventory.max.51,BSCG.multiple,ASCG.Inventory.max.38,ASCG.multiple,curation.status,completion.status,domain,phylum,class,order,genus,species,misc,drep.filt,drep.set,drep.prim.clust,drep.sec.clust,R1.16,R1.18,R2.16,R2.18,R3.16,R3.18,mean.16,mean.18,afe.mean,afe.median,lower.ci,upper.ci,ci.range,phylum.afe.order,site,sample,cov,rel.abund,gtdb.domain,gtdb.phylum,gtdb.class,gtdb.order,gtdb.family,gtdb.genus,gtdb.species
A1-16-all-fractions_metab_conc_86,A1-16-all-fractions_Bacteria_72_16,Bacteria,NA,4791616,72.04,0.7204,16.34,201,5030,86906,48,1,50,2,14,1,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,105,105_1,1.738484339,1.728827199,1.737784133,1.729838731,1.738964023,1.724988115,1.738410832,1.727884682,-0.153501576,-0.154131131,-0.204579767,-0.116384004,0.088195764,430,A,A1-16,0.976923975,0.010614565,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__Dormibacterales,f__Dormibacteraceae,g__,s__
A1-16-all-fractions_metab_conc_23,A1-16-all-fractions_Deltaproteobacteria_69_11,"Deltaproteobacteria, Proteobacteria, Bacteria",NA,3949412,68.58,0.6858,10.99,227,3865,72366,21,0,24,4,11,0,Uncurated genome,partial,Bacteria,Proteobacteria,Deltaproteobacteria,unknown,unknown,unknown,unknown,1,NA,71,71_1,1.736315984,1.72564067,1.733613889,1.733473289,1.745483557,1.728126291,1.738471143,1.729080083,-0.135785586,-0.13749793,-0.25311307,-0.002064348,0.251048722,1641,A,A1-16,1.461887287,0.015883833,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__40CM-4-68-19,g__40CM-4-68-19,s__
A1-16-all-fractions_metab_2,A1-16-all-fractions_Bacteria_70_11,Bacteria,NA,3137126,69.78,0.6978,10.78,331,3553,77591,40,0,45,2,12,1,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,NA,103,103_1,1.736887307,1.729508335,1.735504589,1.734275932,1.74189163,1.728457761,1.738094509,1.730747343,-0.106372842,-0.107597926,-0.196307738,-0.018020314,0.178287424,1899,A,A1-16,0.942197502,0.010237251,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__Dormibacterales,f__Dormibacteraceae,g__,s__
A1-16-all-fractions_metab_conc_103,A1-16-all-fractions_Deltaproteobacteria_68_16,"Deltaproteobacteria, Proteobacteria, Bacteria",NA,5488013,68.07,0.6807,16.48,258,5377,122527,46,10,48,12,12,1,Uncurated genome,megabin,Bacteria,Proteobacteria,Deltaproteobacteria,unknown,unknown,unknown,unknown,1,1,74,74_0,1.73334144,1.727540128,1.732675608,1.728085014,1.734918622,1.72406762,1.733645223,1.726564254,-0.103287221,-0.103962789,-0.159197473,-0.067436808,0.091760665,344,A,A1-16,1.358945146,0.014765336,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__40CM-4-68-19,g__40CM-4-68-19,s__
A1-16-all-fractions_metab_conc_99,A1-16-all-fractions_Micromonosporales_71_19,"Micromonosporales, Actinobacteria, Actinobacteria, Bacteria",NA,4547789,71.42,0.7142,18.82,279,4525,74369,44,0,43,3,13,1,Uncurated genome,near complete,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,unknown,unknown,unknown,1,1,194,194_1,1.738585363,1.735057675,1.737287958,1.73427891,1.743604229,1.734777772,1.73982585,1.734704786,-0.07426854,-0.074924414,-0.128856811,-0.044088597,0.084768214,181,A,A1-16,1.366780462,0.014850469,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Micromonosporaceae,g__Dactylosporangium,s__
A1-16-all-fractions_metab_91,A1-16-all-fractions_Actinobacteria_71_13,"Actinobacteria, Actinobacteria, Bacteria",NA,8156144,71.35,0.7135,13.33,1995,9281,22865,29,6,33,13,14,6,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,193,193_2,1.737497267,1.736545261,1.736935371,1.733505612,1.737539379,1.732726915,1.737324006,1.734259263,-0.04467599,-0.044903649,-0.070501967,-0.013947103,0.056554865,164,A,A1-16,0.668841207,0.007267155,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,g__Palsa-504,s__
A1-16-all-fractions_metab_58,A1-16-all-fractions_Bacteria_65_8,Bacteria,NA,4100978,65.36,0.6536,7.9,822,4344,23752,47,2,48,5,13,3,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,270,270_3,1.72990312,1.729839468,1.730634193,1.727375698,1.727417215,1.725132213,1.729318176,1.727449126,-0.027524236,-0.027508854,-0.04792238,-0.000936524,0.046985856,416,A,A1-16,0.50402898,0.005476422,d__Bacteria,p__Chloroflexota,c__Ktedonobacteria,o__Ktedonobacterales,f__,g__,s__
A1-16-all-fractions_metab_conc_76,A1-16-all-fractions_Deltaproteobacteria_68_13,"Deltaproteobacteria, Proteobacteria, Bacteria",NA,3922472,68.06,0.6806,12.58,105,3743,191127,26,0,27,3,12,0,Uncurated genome,partial,Bacteria,Proteobacteria,Deltaproteobacteria,unknown,unknown,unknown,unknown,1,1,73,73_1,1.73276765,1.731759553,1.732819829,1.731383691,1.731848015,1.729601453,1.732478498,1.730914899,-0.022868872,-0.022972215,-0.033018237,-0.014808374,0.018209864,332,A,A1-16,0.892292179,0.009695016,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__40CM-4-68-19,g__40CM-4-68-19,s__
A1-18-all-fractions_conc_32,A1-18-all-fractions_Bacteria_67_11,Bacteria,NA,5733532,66.58,0.6658,10.55,1199,6228,21031,36,2,40,4,12,0,Uncurated genome,partial,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,169,169_1,1.722727865,1.721344775,1.72135978,1.721922829,1.72194478,1.718929028,1.722010808,1.720732211,-0.018504857,-0.018898748,-0.044577059,0.008325479,0.052902538,427,A,A1-18,1.562587695,0.013992074,d__Bacteria,p__Chloroflexota,c__UBA6077,o__,f__,g__,s__
A2-16-all-fractions_metab_conc_59,A2-16-all-fractions_Bacteria_67_9,Bacteria,NA,4696797,66.58,0.6658,8.88,913,5023,18220,34,1,39,4,11,2,Uncurated genome,partial,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,1,169,169_2,1.722712537,1.721334199,1.721362038,1.721906774,1.721933283,1.718953756,1.722002619,1.720731576,-0.018443655,-0.018787179,-0.044041907,0.008054692,0.052096599,426,A,A2-16,0.709086632,0.005153405,d__Bacteria,p__Chloroflexota,c__UBA6077,o__,f__,g__,s__
A1-18-all-fractions_conc_60,A1-18-all-fractions_Alphaproteobacteria_66_9,"Alphaproteobacteria, Proteobacteria, Bacteria",NA,2879913,65.88,0.6588,9.36,899,3485,13234,41,0,47,4,7,1,Uncurated genome,near complete,Bacteria,Proteobacteria,Alphaproteobacteria,unknown,unknown,unknown,unknown,1,1,67,67_0,1.722799983,1.721248432,1.721258215,1.722011027,1.721950382,1.719654427,1.72200286,1.720971295,-0.014927011,-0.015247292,-0.033936957,0.011131935,0.045068892,353,A,A1-18,0.962028156,0.008614409,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__URHD0088,g__,s__
A2-18-all-fractions_metab_conc_30,A2-18-all-fractions_Bacteria_66_10,Bacteria,NA,2840269,65.72,0.6572,10.02,322,3117,75716,39,4,43,6,10,0,Uncurated genome,near complete,Bacteria,unknown,unknown,unknown,unknown,unknown,unknown,1,NA,43,43_1,1.722910883,1.721071449,1.720839683,1.722336538,1.722232085,1.7198915,1.721994217,1.721099829,-0.013381134,-0.013219759,-0.0345909,0.02213952,0.05673042,1708,A,A2-18,0.904937645,0.007880843,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__,f__,g__,s__
A1-18-all-fractions_metab_conc_8,A1-18-all-fractions_Actinobacteria_70_16,"Actinobacteria, Actinobacteria, Bacteria",NA,4052895,69.96,0.6996,16.34,188,4104,124596,50,0,48,2,13,2,Uncurated genome,near complete,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,NA,186,186_1,1.725123314,1.723854882,1.723250176,1.724335587,1.724549945,1.721953327,1.724307812,1.723381265,-0.01328006,-0.013677637,-0.038325774,0.016032615,0.054358389,1152,A,A1-18,1.298353533,0.011626009,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__QHCF01,g__,s__
A2-16-all-fractions_metab_conc_113,A2-16-all-fractions_Actinobacteria_70_12,"Actinobacteria, Actinobacteria, Bacteria",NA,3433275,70.36,0.7036,12.43,145,3481,118509,30,9,31,12,11,2,Uncurated genome,partial,Bacteria,Actinobacteria,Actinobacteria,unknown,unknown,unknown,unknown,1,1,186,186_1,1.725328809,1.724073548,1.723393884,1.72452503,1.72475977,1.722211249,1.724494155,1.723603275,-0.012801178,-0.013149781,-0.037611543,0.016706881,0.054318424,203,A,A2-16,1.17025542,0.008505025,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__QHCF01,g__,s__
