id,Resource Acquisition:Substrate uptake:aromatic acid transport,Resource Acquisition:Substrate uptake:biopolymer transport,Resource Acquisition:Substrate uptake:carbohydrate transport,Resource Acquisition:Substrate uptake:carboxylate transport,Resource Acquisition:Substrate uptake:free amino acids transport,Resource Acquisition:Substrate uptake:ion transport,Resource Acquisition:Substrate uptake:lipid transport,Resource Acquisition:Substrate uptake:N compound transport,Resource Acquisition:Substrate uptake:nucleic acid component transport,Resource Acquisition:Substrate uptake:organophosphorus transport,Resource Acquisition:Substrate uptake:osmolyte transport,Resource Acquisition:Substrate uptake:other transport,Resource Acquisition:Substrate uptake:peptide transport,Resource Acquisition:Substrate uptake:S compound transport,Resource Acquisition:Substrate uptake:secondary metabolite transport,Resource Acquisition:Substrate uptake:vitamin transport,Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization,Resource Acquisition:Substrate degradation:simple compound degradation,Resource Acquisition:Substrate assimilation:C1 compounds,Resource Acquisition:Substrate assimilation:N compounds,Resource Acquisition:Substrate assimilation:S compounds,Resource Acquisition:Substrate assimilation:P compounds,Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation,Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration,Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration,Resource Use:Chemotrophy:chemolithoautotrophy,Resource Use:Phototrophy:photosystem,Resource Use:Phototrophy:pigments:core,Resource Use:Phototrophy:pigments:accessory,Stress Tolerance:General,Stress Tolerance:Specific:temperature:high,Stress Tolerance:Specific:temperature:low,Stress Tolerance:Specific:desiccation/osmotic/salt stress,Stress Tolerance:Specific:pH stress,Stress Tolerance:Specific:oxidative stress,Stress Tolerance:Specific:oxygen limitation,§§,mingentime,ogt,bin length
H1-16-all-fractions_metab_conc_1,0,0,5,0,2,9,2,1,1,0,1,0,0,1,0,1,17,26,1,2,0,1,1,3,0,0,0,0,0,6,5,5,2,3,2,0,1,8.589060951,35.68344813,3190104
H1-16-all-fractions_metab_conc_12,0,0,11,4,3,7,2,1,1,1,1,0,0,1,1,1,21,24,2,2,0,1,0,4,0,0,0,0,0,10,8,4,4,8,2,0,1,6.739460248,35.26573933,4026304
H1-16-all-fractions_metab_conc_2,0,3,12,7,9,14,2,2,2,4,1,0,0,2,1,5,12,33,4,3,1,1,2,1,0,0,0,0,0,11,7,3,7,7,4,1,0,6.526734184,30.62322077,5024840
H1-16-all-fractions_metab_conc_20,0,2,4,2,2,9,2,1,1,2,0,0,1,1,0,3,12,31,4,2,0,0,0,1,1,1,0,0,0,6,6,2,2,6,1,0,1,9.463625905,34.59723186,3126185
H1-16-all-fractions_metab_conc_21,0,0,0,2,3,7,1,1,0,1,0,0,0,1,0,1,11,22,1,2,0,0,0,2,0,0,0,0,0,7,6,4,2,4,2,0,0,11.07760901,36.81966882,2643828
H1-16-all-fractions_metab_conc_28,0,0,4,4,2,11,2,1,1,1,0,0,0,1,0,1,17,23,2,2,0,1,0,4,0,0,0,0,0,10,8,5,2,5,2,0,0,7.461894179,38.09834095,3173154
H1-16-all-fractions_metab_31,0,0,9,3,9,6,0,1,2,1,3,0,2,0,0,4,11,25,1,2,1,0,1,4,1,1,0,0,0,9,7,2,8,5,2,0,1,1.107008992,33.56041331,2747925
H1-16-all-fractions_metab_conc_37,0,0,4,4,3,8,0,1,0,1,0,0,0,1,0,3,16,30,1,2,0,1,0,4,1,0,0,0,0,7,7,3,2,7,1,0,1,13.35399351,34.86154212,3023131
H1-16-all-fractions_metab_conc_39,0,0,7,4,6,17,1,2,1,1,1,0,1,0,1,1,7,33,4,2,1,0,1,4,1,1,0,0,8,9,8,4,5,6,3,0,1,8.151370035,35.10932538,5001333
H1-16-all-fractions_metab_conc_42,0,0,12,4,4,10,1,1,1,2,0,0,1,0,0,2,27,33,3,2,0,1,1,4,0,0,0,0,0,10,8,1,5,6,2,0,1,17.86148423,36.54930624,6485173
H1-16-all-fractions_metab_48,0,0,1,1,1,7,1,1,0,1,0,0,0,1,0,1,11,21,1,2,0,1,0,3,0,0,0,0,0,7,7,3,2,4,1,0,0,20.62410907,35.79342878,2498950
H1-16-all-fractions_conc_50,1,3,15,10,8,13,5,6,3,2,2,0,1,2,1,4,33,43,2,2,1,1,1,3,1,1,0,0,0,8,5,4,6,8,4,1,2,0.718078092,28.69214636,6971725
H1-16-all-fractions_metab_conc_51,0,0,11,4,6,10,2,1,3,1,0,0,0,0,0,1,21,27,3,3,1,1,0,2,0,0,0,0,4,5,5,3,5,4,1,1,1,3.73066915,41.68222482,3963092
H1-16-all-fractions_metab_maxb_54,0,0,10,3,4,10,0,1,2,0,1,0,0,1,1,2,14,30,3,3,0,1,1,3,0,0,0,0,4,3,4,2,5,2,1,1,1,7.51568332,41.25436783,3405348
H1-16-all-fractions_metab_conc_57,0,0,2,2,2,10,1,1,0,1,0,0,1,1,0,1,11,28,1,2,0,0,2,4,0,0,0,0,0,7,7,3,2,4,2,0,1,8.584872802,40.16585717,2664009
