Column1,cellulose breakdown,chitin breakdown,heteromannan breakdown,xylan and heteroxylan breakdown,xyloglucan breakdown,mixed linkage glucan breakdown,monosaccharide transport,amino sugar transport,amide transport,monocarboxylate transport,protein degradation,free amino acids transport,general,peptide transport,guild_id,mingentime,bin length,afe.median,rel.abund,class,id,totalcazy,color,spherical_equivalent_diameter,r_median,relabund_median,bge_median,J_DE_median
0,0.71718262,0.573746096,0.286873048,1.721238288,0.860619144,0.573746096,1.147492192,0.0,0.143436524,0.286873048,0.559402443,1.147492192,1.147492192,0.143436524,1,0.718078092,6.971725,0.308244244,0.011116654,Betaproteobacteria,H1-16-all-fractions_conc_50,0.788900882,#ff7f0e,0.898997439,0.07180130786310615,0.23431764501230823,0.5489658322391171,0.02978222285075795
1,0.501446674,0.376085005,0.125361668,1.504340021,0.75217001,0.250723337,0.376085005,0.125361668,0.0,0.250723337,0.401157339,0.376085005,1.378978353,0.125361668,1,18.04626651,7.97692,0.027762321,0.006016852,Unknown,H1-16-all-fractions_conc_93,0.585021119,#c7c7c7,,0.018211494613282767,2.9990676958414465e-5,0.987252702332459,5.504739279935357e-7
2,0.727821902,1.091732853,0.363910951,1.455643804,0.0,0.363910951,0.363910951,0.0,0.0,0.727821902,0.727821902,3.275198559,3.275198559,0.727821902,3,1.107008992,2.747925,0.024517239,1.65e-6,Actinobacteria,H1-16-all-fractions_metab_31,0.667170077,#5254a3,0.827954149,0.09544885924826343,5.527635791068822e-6,0.05757826509697954,3.68020413543293e-7
3,0.800336141,0.800336141,0.800336141,1.200504212,0.0,0.800336141,0.400168071,0.0,0.0,0.0,0.760319334,0.400168071,2.801176494,0.0,3,20.62410907,2.49895,0.141165767,0.02106831,Actinobacteria,H1-16-all-fractions_metab_48,0.733641463,#5254a3,0.827954149,0.07315321206871034,2.153530695088596e-6,0.9511065315072508,2.066168390054742e-8
4,0.785647169,1.571294338,0.392823584,1.964117922,0.0,0.392823584,0.0,0.0,0.0,0.0,0.864211886,1.178470753,3.53541226,0.392823584,3,5.271567626,2.545672,0.153277445,0.011307106,Alphaproteobacteria,H1-16-all-fractions_metab_74,0.851117766,#e7ba52,0.960118077,0.01899166136403102,3.273660244615004e-6,0.9998744855387393,NaN
5,0.940408212,0.626938808,0.626938808,1.880816425,0.626938808,0.626938808,0.626938808,0.0,0.0,0.0,0.72097963,0.626938808,1.880816425,0.0,2,8.589060951,3.190104,0.12047959,0.027489763,Actinobacteria,H1-16-all-fractions_metab_conc_1,0.888163312,#5254a3,0.827954149,0.09152213255832203,3.0850201205726614e-6,NaN,1.0020727798098813e-7
6,0.993466961,0.496733481,0.496733481,1.738567182,0.745100221,0.745100221,0.745100221,0.0,0.0,0.496733481,0.521570155,0.745100221,2.483667403,0.0,2,6.739460248,4.026304,0.161253495,0.035504312,Actinobacteria,H1-16-all-fractions_metab_conc_12,0.869283591,#5254a3,0.827954149,0.060829962468700406,4.512723894193649e-6,NaN,1.6782290782528388e-7
7,0.398022624,0.398022624,0.199011312,0.796045247,0.199011312,0.398022624,0.995056559,0.0,0.199011312,0.199011312,0.577132804,1.791101806,2.18912443,0.0,1,6.526734184,5.02484,0.219127983,0.014548876,Alphaproteobacteria,H1-16-all-fractions_metab_conc_2,0.398022624,#e7ba52,0.960118077,0.04531779082601725,5.103227784157021e-6,NaN,1.730734072570364e-7
8,0.639757404,0.639757404,0.319878702,1.59939351,0.319878702,0.319878702,0.319878702,0.0,0.0,0.0,0.927648236,0.639757404,1.919272212,0.319878702,3,9.463625905,3.126185,0.088633478,0.01112081,Unknown,H1-16-all-fractions_metab_conc_20,0.639757404,#c7c7c7,,0.05442780870165608,4.321380336720593e-6,NaN,8.566456905929995e-8
9,0.756478863,0.756478863,0.378239432,1.891197158,0.0,0.378239432,0.0,0.0,0.0,0.378239432,0.756478863,1.134718295,2.647676021,0.0,2,11.07760901,2.643828,0.021942682,0.011881398,Actinobacteria,H1-16-all-fractions_metab_conc_21,0.693438958,#5254a3,0.827954149,0.08570175976011646,2.0905448594003445e-6,0.9992981296265816,NaN
