id,name,code,binning project,project group,taxonomy,description,bin length,GC%,coverage,# contigs,# features,longest contig,RP Inventory (total: 55),RP multiple,BSCG Inventory (total: 51),BSCG multiple,ASCG Inventory (total: 38),ASCG multiple,curation status,completion status
461286,A1-16-all-fractions_metab_conc_1,wsip-metawrap-drep-bins_Amycolatopsis_69_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Amycolatopsis, Pseudonocardiales, Actinobacteria, Actinobacteria, Bacteria",,8408526,69.01,0.98,907,8244,55981,37,5,39,5,12,5,Uncurated genome,partial
461287,A1-16-all-fractions_metab_conc_103,wsip-metawrap-drep-bins_Deltaproteobacteria_68_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Deltaproteobacteria, Proteobacteria, Bacteria",,5488013,68.07,1.99,258,5357,122527,47,10,48,12,12,1,Uncurated genome,megabin
461288,A1-16-all-fractions_metab_12,wsip-metawrap-drep-bins_Actinobacteria_71_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Actinobacteria, Actinobacteria, Bacteria",,5341751,70.72,0.66,1126,5687,21824,38,8,37,13,10,1,Uncurated genome,partial
461289,A1-16-all-fractions_metab_conc_25,wsip-metawrap-drep-bins_Massilia_66_2,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Massilia, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",,4416742,65.55,2.07,224,4032,103450,18,0,19,3,10,2,Uncurated genome,partial
461290,A1-16-all-fractions_metab_conc_31,wsip-metawrap-drep-bins_Burkholderia_63_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Burkholderia, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",,5609343,63.28,0.96,334,5403,84639,24,2,24,2,12,1,Uncurated genome,partial
461291,A1-16-all-fractions_metab_conc_40,wsip-metawrap-drep-bins_Propionibacteriales_72_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Propionibacteriales, Actinobacteria, Actinobacteria, Bacteria",,4042433,71.64,1.42,69,3929,345080,28,1,28,1,13,1,Uncurated genome,partial
461292,A1-16-all-fractions_metab_conc_44,wsip-metawrap-drep-bins_Myxococcales_72_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Myxococcales, Deltaproteobacteria, Proteobacteria, Bacteria",,5689809,71.7,0.75,491,5488,73964,33,1,36,3,9,0,Uncurated genome,partial
461293,A1-16-all-fractions_metab_conc_5,wsip-metawrap-drep-bins_Burkholderiales_69_6,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria",,6390465,68.77,5.65,779,6345,200375,27,4,27,7,10,1,Uncurated genome,partial
461294,A1-16-all-fractions_metab_conc_51,wsip-metawrap-drep-bins_Terrabacter_sp__28_72_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,"Terrabacter sp. 28, Terrabacter, Micrococcales, Actinobacteria, Actinobacteria, Bacteria",,3156959,71.58,0.69,357,3207,42302,27,3,28,5,8,2,Uncurated genome,partial
461295,A1-16-all-fractions_metab_58,wsip-metawrap-drep-bins_Bacteria_65_1,wsip-metawrap-drep-bins,Grassland Soil 18O-H2O SIP,Bacteria,,4100978,65.36,0.64,822,4338,23752,48,2,48,5,13,3,Uncurated genome,near complete
